posting_month,skill,skill_category,n_postings,postings_with_skills,postings,share_of_skilled,share_of_all
2023-01,Python,Programming Language,43,63,90,0.6825,0.4778
2023-01,R,Programming Language,29,63,90,0.4603,0.3222
2023-01,SQL,Programming Language,19,63,90,0.3016,0.2111
2023-01,SAS,Analytics / BI,14,63,90,0.2222,0.1556
2023-01,Java,Programming Language,13,63,90,0.2063,0.1444
2023-01,JavaScript,Programming Language,12,63,90,0.1905,0.1333
2023-01,C++,Programming Language,10,63,90,0.1587,0.1111
2023-01,Go,Programming Language,10,63,90,0.1587,0.1111
2023-01,Tableau,Analytics / BI,10,63,90,0.1587,0.1111
2023-01,Hadoop,Data Engineering,8,63,90,0.127,0.0889
2023-01,MATLAB,Programming Language,8,63,90,0.127,0.0889
2023-01,BigQuery,Cloud Platform,5,63,90,0.0794,0.0556
2023-01,C,Programming Language,5,63,90,0.0794,0.0556
2023-01,Plotly,Data Science Libraries,5,63,90,0.0794,0.0556
2023-01,TensorFlow,ML / AI,5,63,90,0.0794,0.0556
2023-01,Looker,Analytics / BI,4,63,90,0.0635,0.0444
2023-01,CSS,Web / Frontend,3,63,90,0.0476,0.0333
2023-01,HTML,Web / Frontend,3,63,90,0.0476,0.0333
2023-01,Linux,OS / Shell,3,63,90,0.0476,0.0333
2023-01,Machine Learning,ML / AI,3,63,90,0.0476,0.0333
2023-01,Spark,Data Engineering,3,63,90,0.0476,0.0333
2023-01,C#,Programming Language,2,63,90,0.0317,0.0222
2023-01,GitHub,DevOps / Infrastructure,2,63,90,0.0317,0.0222
2023-01,Kubernetes,DevOps / Infrastructure,2,63,90,0.0317,0.0222
2023-01,Oracle,Database,2,63,90,0.0317,0.0222
2023-01,SAP,Analytics / BI,2,63,90,0.0317,0.0222
2023-01,Scala,Programming Language,2,63,90,0.0317,0.0222
2023-01,Airflow,Data Engineering,1,63,90,0.0159,0.0111
2023-01,Cassandra,Database,1,63,90,0.0159,0.0111
2023-01,Cognos,Analytics / BI,1,63,90,0.0159,0.0111
2023-01,Express,Web / Frontend,1,63,90,0.0159,0.0111
2023-01,GCP,Cloud Platform,1,63,90,0.0159,0.0111
2023-01,MicroStrategy,Analytics / BI,1,63,90,0.0159,0.0111
2023-01,Microsoft Access,Database,1,63,90,0.0159,0.0111
2023-01,MongoDB,Database,1,63,90,0.0159,0.0111
2023-01,NoSQL,Database,1,63,90,0.0159,0.0111
2023-01,Perl,Programming Language,1,63,90,0.0159,0.0111
2023-01,Power BI,Analytics / BI,1,63,90,0.0159,0.0111
2023-01,Qlik,Analytics / BI,1,63,90,0.0159,0.0111
2023-01,Shell,OS / Shell,1,63,90,0.0159,0.0111
2023-01,Snowflake,Cloud Platform,1,63,90,0.0159,0.0111
2023-02,Python,Programming Language,13,19,22,0.6842,0.5909
2023-02,C++,Programming Language,9,19,22,0.4737,0.4091
2023-02,TensorFlow,ML / AI,7,19,22,0.3684,0.3182
2023-02,Go,Programming Language,6,19,22,0.3158,0.2727
2023-02,Java,Programming Language,6,19,22,0.3158,0.2727
2023-02,Linux,OS / Shell,5,19,22,0.2632,0.2273
2023-02,R,Programming Language,5,19,22,0.2632,0.2273
2023-02,Hadoop,Data Engineering,4,19,22,0.2105,0.1818
2023-02,JavaScript,Programming Language,4,19,22,0.2105,0.1818
2023-02,NoSQL,Database,4,19,22,0.2105,0.1818
2023-02,SAP,Analytics / BI,4,19,22,0.2105,0.1818
2023-02,MongoDB,Database,3,19,22,0.1579,0.1364
2023-02,Oracle,Database,3,19,22,0.1579,0.1364
2023-02,Scala,Programming Language,3,19,22,0.1579,0.1364
2023-02,Spark,Data Engineering,3,19,22,0.1579,0.1364
2023-02,BigQuery,Cloud Platform,1,19,22,0.0526,0.0455
2023-02,Dart,Programming Language,1,19,22,0.0526,0.0455
2023-02,Flutter,Web / Frontend,1,19,22,0.0526,0.0455
2023-02,Looker,Analytics / BI,1,19,22,0.0526,0.0455
2023-02,Objective-C,Programming Language,1,19,22,0.0526,0.0455
2023-02,SQL,Programming Language,1,19,22,0.0526,0.0455
2023-02,Snowflake,Cloud Platform,1,19,22,0.0526,0.0455
2023-02,Swift,Programming Language,1,19,22,0.0526,0.0455
2023-03,Python,Programming Language,30,47,57,0.6383,0.5263
2023-03,R,Programming Language,16,47,57,0.3404,0.2807
2023-03,SQL,Programming Language,14,47,57,0.2979,0.2456
2023-03,Java,Programming Language,13,47,57,0.2766,0.2281
2023-03,C++,Programming Language,9,47,57,0.1915,0.1579
2023-03,Go,Programming Language,9,47,57,0.1915,0.1579
2023-03,Hadoop,Data Engineering,8,47,57,0.1702,0.1404
2023-03,NoSQL,Database,8,47,57,0.1702,0.1404
2023-03,Machine Learning,ML / AI,7,47,57,0.1489,0.1228
2023-03,Scala,Programming Language,7,47,57,0.1489,0.1228
2023-03,TensorFlow,ML / AI,7,47,57,0.1489,0.1228
2023-03,JavaScript,Programming Language,6,47,57,0.1277,0.1053
2023-03,C,Programming Language,3,47,57,0.0638,0.0526
2023-03,Linux,OS / Shell,3,47,57,0.0638,0.0526
2023-03,C#,Programming Language,2,47,57,0.0426,0.0351
