skill_a,skill_b,n_both,n_a,n_b,jaccard
Ansible,Jenkins,5,5,6,0.8333
CSS,HTML,7,7,9,0.7778
Perl,Shell,11,17,14,0.55
Python,R,203,373,215,0.5273
Go,Java,79,96,133,0.5267
Hadoop,NoSQL,36,58,47,0.5217
Go,Scala,51,96,54,0.5152
C++,Java,78,103,133,0.4937
C,Perl,17,36,17,0.4722
MongoDB,NoSQL,21,21,47,0.4468
C++,JavaScript,54,103,74,0.439
R,SQL,143,215,255,0.4373
Go,JavaScript,51,96,74,0.4286
Java,JavaScript,62,133,74,0.4276
Hadoop,Spark,28,58,36,0.4242
Docker,Kubernetes,6,9,12,0.4
Python,SQL,178,373,255,0.3956
Java,Scala,53,133,54,0.3955
BigQuery,Looker,36,62,71,0.3711
NumPy,pandas,6,6,17,0.3529
MongoDB,Spark,14,21,36,0.3256
Java,Python,123,133,373,0.3211
NoSQL,Spark,20,47,36,0.3175
MATLAB,pandas,11,30,17,0.3056
Oracle,Snowflake,8,20,15,0.2963
MongoDB,TensorFlow,21,21,71,0.2958
JavaScript,Scala,29,74,54,0.2929
C++,Go,44,103,96,0.2839
C,Shell,11,36,14,0.2821
Hadoop,Java,42,58,133,0.2819
Keras,PyTorch,5,5,18,0.2778
Hadoop,Scala,23,58,54,0.2584
Oracle,SAP,8,20,19,0.2581
PyTorch,TensorFlow,18,18,71,0.2535
C,C++,28,36,103,0.2523
Java,NoSQL,36,133,47,0.25
C++,Python,94,103,373,0.2461
BigQuery,Snowflake,15,62,15,0.2419
C,JavaScript,21,36,74,0.236
Power BI,Tableau,7,7,30,0.2333
NoSQL,Scala,19,47,54,0.2317
GCP,Terraform,6,25,7,0.2308
Spark,TensorFlow,20,36,71,0.2299
Go,Python,87,96,373,0.2277
C++,Scala,29,103,54,0.2266
Go,NoSQL,26,96,47,0.2222
C++,TensorFlow,31,103,71,0.2168
Linux,SAP,13,54,19,0.2167
NoSQL,TensorFlow,21,47,71,0.2165
Hadoop,MongoDB,14,58,21,0.2154
Linux,Scala,19,54,54,0.2135
Perl,PyTorch,6,17,18,0.2069
Go,Hadoop,26,96,58,0.2031
JavaScript,Linux,20,74,54,0.1852
C,Java,26,36,133,0.1818
JavaScript,Python,67,74,373,0.1763
Machine Learning,TensorFlow,19,62,71,0.1667
Plotly,Tableau,5,5,30,0.1667
Java,Spark,24,133,36,0.1655
C++,Perl,17,103,17,0.165
C,C#,7,36,14,0.1628
Hadoop,TensorFlow,18,58,71,0.1622
C++,Spark,19,103,36,0.1583
R,SAS,34,215,34,0.1581
Oracle,Scala,10,20,54,0.1562
Go,Linux,20,96,54,0.1538
Java,TensorFlow,27,133,71,0.1525
Looker,SQL,43,71,255,0.1519
Airflow,Spark,6,11,36,0.1463
C++,Linux,20,103,54,0.146
Python,Scala,54,373,54,0.1448
Python,TensorFlow,56,373,71,0.1443
JavaScript,Shell,11,74,14,0.1429
C#,JavaScript,11,14,74,0.1429
MATLAB,SAS,8,30,34,0.1429
C++,Hadoop,20,103,58,0.1418
JavaScript,Perl,11,74,17,0.1375
C++,NoSQL,18,103,47,0.1364
Hadoop,Python,51,58,373,0.1342
JavaScript,R,34,74,215,0.1333
Java,Linux,22,133,54,0.1333
Scala,Snowflake,8,54,15,0.1311
PyTorch,Spark,6,18,36,0.125
C,PyTorch,6,36,18,0.125
MATLAB,R,27,30,215,0.1239
BigQuery,Oracle,9,62,20,0.1233
HTML,JavaScript,9,9,74,0.1216
Linux,Oracle,8,54,20,0.1212
R,Scala,29,215,54,0.1208
Java,Perl,16,133,17,0.1194
JavaScript,Oracle,10,74,20,0.119
C++,MongoDB,13,103,21,0.1171
Perl,TensorFlow,9,17,71,0.1139
BigQuery,Go,16,62,96,0.1127
JavaScript,Snowflake,9,74,15,0.1125
C#,Go,11,14,96,0.1111
Looker,Tableau,10,71,30,0.1099
Java,MongoDB,15,133,21,0.1079
SAP,Scala,7,19,54,0.1061
NoSQL,Python,40,47,373,0.1053
C++,Shell,11,103,14,0.1038
Go,R,29,96,215,0.1028
Java,R,32,133,215,0.1013
SQL,Tableau,26,255,30,0.1004
C++,R,29,103,215,0.1003
Java,Shell,13,133,14,0.097
CSS,JavaScript,7,7,74,0.0946
Go,Oracle,10,96,20,0.0943
C,TensorFlow,9,36,71,0.0918
C++,Oracle,10,103,20,0.0885
BigQuery,JavaScript,11,62,74,0.088
BigQuery,GCP,7,62,25,0.0875
Hadoop,MATLAB,7,58,30,0.0864
C,Python,32,36,373,0.0849
Go,TensorFlow,13,96,71,0.0844
Scala,Spark,7,54,36,0.0843
BigQuery,Scala,9,62,54,0.0841
BigQuery,Java,15,62,133,0.0833
Go,MongoDB,9,96,21,0.0833
C++,Snowflake,9,103,15,0.0826
Hadoop,JavaScript,10,58,74,0.082
Go,Spark,10,96,36,0.082
BigQuery,SQL,24,62,255,0.0819
JavaScript,SAP,7,74,19,0.0814
Machine Learning,PyTorch,6,62,18,0.0811
Linux,R,20,54,215,0.0803
R,Tableau,18,215,30,0.0793
Airflow,Hadoop,5,11,58,0.0781
JavaScript,TypeScript,6,74,9,0.0779
Go,Snowflake,8,96,15,0.0777
Looker,Snowflake,6,71,15,0.075
Java,SQL,27,133,255,0.0748
Python,SAS,28,373,34,0.0739
Python,Spark,28,373,36,0.0735
Airflow,BigQuery,5,11,62,0.0735
Java,Snowflake,10,133,15,0.0725
BigQuery,C++,11,62,103,0.0714
Keras,TensorFlow,5,5,71,0.0704
Java,Oracle,10,133,20,0.0699
MATLAB,Python,26,30,373,0.069
Looker,Power BI,5,71,7,0.0685
GCP,Java,10,25,133,0.0676
Looker,R,18,71,215,0.0672
JavaScript,TensorFlow,9,74,71,0.0662
C#,Java,9,14,133,0.0652
Linux,Python,26,54,373,0.0648
Go,SAP,7,96,19,0.0648
Hadoop,SQL,19,58,255,0.0646
C,Go,8,36,96,0.0645
C++,PyTorch,7,103,18,0.0614
BigQuery,Python,25,62,373,0.061
C++,SAP,7,103,19,0.0609
Go,TypeScript,6,96,9,0.0606
Docker,Go,6,9,96,0.0606
R,pandas,13,215,17,0.0594
Go,Kubernetes,6,96,12,0.0588
JavaScript,Spark,6,74,36,0.0577
BigQuery,Tableau,5,62,30,0.0575
C++,SQL,19,103,255,0.056
Java,PyTorch,8,133,18,0.0559
MATLAB,SQL,15,30,255,0.0556
JavaScript,MongoDB,5,74,21,0.0556
Python,Tableau,21,373,30,0.055
GCP,Looker,5,25,71,0.0549
SAS,SQL,15,34,255,0.0547
Looker,Python,23,71,373,0.0546
BigQuery,Spark,5,62,36,0.0538
GCP,JavaScript,5,25,74,0.0532
JavaScript,NoSQL,6,74,47,0.0522
GCP,Go,6,25,96,0.0522
Azure,Go,5,5,96,0.0521
Java,TypeScript,7,133,9,0.0519
Go,Terraform,5,96,7,0.051
MongoDB,Python,19,21,373,0.0507
Scala,TensorFlow,6,54,71,0.0504
Java,SAP,7,133,19,0.0483
SQL,TensorFlow,15,255,71,0.0482
JavaScript,SQL,15,74,255,0.0478
Airflow,C++,5,11,103,0.0459
Perl,Python,17,17,373,0.0456
Python,pandas,17,373,17,0.0456
Express,R,10,15,215,0.0455
BigQuery,R,12,62,215,0.0453
Java,Terraform,6,133,7,0.0448
Oracle,R,10,20,215,0.0444
Airflow,Java,6,11,133,0.0435
SQL,Spark,12,255,36,0.043
C++,GCP,5,103,25,0.0407
PyTorch,Python,15,18,373,0.0399
Go,SQL,13,96,255,0.0385
Express,SQL,10,15,255,0.0385
Hadoop,R,10,58,215,0.038
C++,Machine Learning,6,103,62,0.0377
AWS,Java,5,5,133,0.0376
Azure,Java,5,5,133,0.0376
Java,Unix,5,133,6,0.0373
Docker,Java,5,9,133,0.0365
R,Snowflake,8,215,15,0.036
Machine Learning,Python,15,62,373,0.0357
Java,Kubernetes,5,133,12,0.0357
Airflow,SQL,9,11,255,0.035
Python,Shell,13,373,14,0.0348
Oracle,Python,13,20,373,0.0342
NoSQL,SQL,10,47,255,0.0342
GCP,Python,13,25,373,0.0338
R,SPSS,7,215,7,0.0326
Java,Tableau,5,133,30,0.0316
Excel,SQL,8,8,255,0.0314
Go,Looker,5,96,71,0.0309
R,SAP,7,215,19,0.0308
SQL,pandas,8,255,17,0.0303
Linux,SQL,9,54,255,0.03
SPSS,SQL,7,7,255,0.0275
Python,Snowflake,10,373,15,0.0265
Express,Python,10,15,373,0.0265
C#,Python,10,14,373,0.0265
Java,Machine Learning,5,133,62,0.0263
HTML,Python,9,9,373,0.0241
HTML,SQL,6,9,255,0.0233
CSS,R,5,7,215,0.023
HTML,R,5,9,215,0.0228
SQL,Snowflake,6,255,15,0.0227
GCP,SQL,6,25,255,0.0219
Excel,Python,8,8,373,0.0214
Python,SAP,8,373,19,0.0208
Plotly,SQL,5,5,255,0.0196
CSS,SQL,5,7,255,0.0195
NumPy,SQL,5,6,255,0.0195
Power BI,SQL,5,7,255,0.0195
React,SQL,5,7,255,0.0195
CSS,Python,7,7,373,0.0188
Python,TypeScript,7,373,9,0.0187
Airflow,Python,7,11,373,0.0186
MongoDB,SQL,5,21,255,0.0185
R,TensorFlow,5,215,71,0.0178
C,SQL,5,36,255,0.0175
Python,scikit-learn,6,373,6,0.0161
Python,Unix,6,373,6,0.0161
NumPy,Python,6,6,373,0.0161
Python,Terraform,6,373,7,0.016
Machine Learning,SQL,5,62,255,0.016
Kubernetes,Python,6,12,373,0.0158
Docker,Python,5,9,373,0.0133
