skill,skill_category,n_h1,n_h2,share_h1,share_h2,delta,relative_change,emerging_skill_flag
SQL,Programming Language,83,172,0.318,0.5059,0.1879,0.591,emerging
R,Programming Language,86,129,0.3295,0.3794,0.0499,0.151,stable
Looker,Analytics / BI,24,47,0.092,0.1382,0.0462,0.502,emerging
BigQuery,Cloud Platform,22,40,0.0843,0.1176,0.0333,0.395,emerging
C,Programming Language,11,25,0.0421,0.0735,0.0314,0.746,emerging
Perl,Programming Language,3,14,0.0115,0.0412,0.0297,2.583,emerging
GCP,Cloud Platform,7,18,0.0268,0.0529,0.0261,0.974,emerging
PyTorch,ML / AI,4,14,0.0153,0.0412,0.0259,1.693,emerging
SPSS,Analytics / BI,0,7,0.0,0.0206,0.0206,,insufficient_support
TypeScript,Programming Language,1,8,0.0038,0.0235,0.0197,5.184,insufficient_support
Colocation,Facilities / Data Centre,0,6,0.0,0.0176,0.0176,,insufficient_support
Unix,OS / Shell,0,6,0.0,0.0176,0.0176,,insufficient_support
Express,Web / Frontend,4,11,0.0153,0.0324,0.0171,1.118,emerging
MySQL,Database,0,5,0.0,0.0147,0.0147,,insufficient_support
Shell,OS / Shell,4,10,0.0153,0.0294,0.0141,0.922,emerging
Power BI,Analytics / BI,1,6,0.0038,0.0176,0.0138,3.632,insufficient_support
React,Web / Frontend,1,6,0.0038,0.0176,0.0138,3.632,insufficient_support
Machine Learning,ML / AI,25,37,0.0958,0.1088,0.013,0.136,stable
Airflow,Data Engineering,3,8,0.0115,0.0235,0.012,1.043,emerging
Kafka,Data Engineering,0,4,0.0,0.0118,0.0118,,insufficient_support
NumPy,Data Science Libraries,1,5,0.0038,0.0147,0.0109,2.868,insufficient_support
Jenkins,DevOps / Infrastructure,1,5,0.0038,0.0147,0.0109,2.868,insufficient_support
scikit-learn,ML / AI,1,5,0.0038,0.0147,0.0109,2.868,insufficient_support
pandas,Data Science Libraries,6,11,0.023,0.0324,0.0094,0.409,emerging
MXNet,ML / AI,0,3,0.0,0.0088,0.0088,,insufficient_support
Microsoft Outlook,Office / Productivity,0,3,0.0,0.0088,0.0088,,insufficient_support
Microsoft Word,Office / Productivity,0,3,0.0,0.0088,0.0088,,insufficient_support
Keras,ML / AI,1,4,0.0038,0.0118,0.008,2.105,insufficient_support
Ansible,DevOps / Infrastructure,1,4,0.0038,0.0118,0.008,2.105,insufficient_support
Tableau,Analytics / BI,12,18,0.046,0.0529,0.0069,0.15,stable
MicroStrategy,Analytics / BI,1,3,0.0038,0.0088,0.005,1.316,insufficient_support
Rust,Programming Language,1,3,0.0038,0.0088,0.005,1.316,insufficient_support
Cognos,Analytics / BI,1,3,0.0038,0.0088,0.005,1.316,insufficient_support
Assembly,Programming Language,1,3,0.0038,0.0088,0.005,1.316,insufficient_support
OpenStack,Cloud Platform,0,1,0.0,0.0029,0.0029,,insufficient_support
Redis,Database,0,1,0.0,0.0029,0.0029,,insufficient_support
