segment,n_h1,n_h2,share_h1,share_h2,share_delta,count_change_pct,share_change_pct,direction,dimension,panel,n_h1_balanced,n_h2_balanced,share_change_pct_balanced,direction_balanced,directions_agree
Singapore,22,57,0.0584,0.121,0.0626,159.1,107.2,growth,country,raw,8.0,13.0,3.9,stable,False
Ireland,5,29,0.0133,0.0616,0.0483,480.0,363.2,growth,country,raw,1.0,5.0,219.1,insufficient_support,False
Belgium,0,12,0.0,0.0255,0.0255,,,stable,country,raw,0.0,1.0,,insufficient_support,False
Italy,0,9,0.0,0.0191,0.0191,,,insufficient_support,country,raw,0.0,4.0,,insufficient_support,True
India,27,42,0.0716,0.0892,0.0176,55.6,24.6,stable,country,raw,9.0,22.0,56.4,growth,False
Mexico,4,12,0.0106,0.0255,0.0149,200.0,140.6,growth,country,raw,0.0,7.0,,insufficient_support,False
France,1,8,0.0027,0.017,0.0143,700.0,529.6,insufficient_support,country,raw,1.0,4.0,155.9,insufficient_support,True
Saudi Arabia,1,7,0.0027,0.0149,0.0122,600.0,451.9,insufficient_support,country,raw,0.0,2.0,,insufficient_support,True
Colombia,1,4,0.0027,0.0085,0.0058,300.0,214.8,insufficient_support,country,raw,0.0,4.0,,insufficient_support,True
Sweden,2,5,0.0053,0.0106,0.0053,150.0,100.0,insufficient_support,country,raw,1.0,3.0,91.2,insufficient_support,True
Finland,0,2,0.0,0.0042,0.0042,,,insufficient_support,country,raw,,,,no_panel,False
Hungary,0,2,0.0,0.0042,0.0042,,,insufficient_support,country,raw,,,,no_panel,False
Romania,0,2,0.0,0.0042,0.0042,,,insufficient_support,country,raw,,,,no_panel,False
Philippines,0,2,0.0,0.0042,0.0042,,,insufficient_support,country,raw,0.0,1.0,,insufficient_support,True
Dominican Republic,0,2,0.0,0.0042,0.0042,,,insufficient_support,country,raw,,,,no_panel,False
Norway,1,3,0.0027,0.0064,0.0037,200.0,137.0,insufficient_support,country,raw,0.0,1.0,,insufficient_support,True
Austria,0,1,0.0,0.0021,0.0021,,,insufficient_support,country,raw,,,,no_panel,False
Thailand,0,1,0.0,0.0021,0.0021,,,insufficient_support,country,raw,0.0,1.0,,insufficient_support,True
Kenya,4,6,0.0106,0.0127,0.0021,50.0,19.8,stable,country,raw,2.0,4.0,27.9,insufficient_support,False
New Zealand,0,1,0.0,0.0021,0.0021,,,insufficient_support,country,raw,,,,no_panel,False
United Arab Emirates,5,7,0.0133,0.0149,0.0016,40.0,12.0,stable,country,raw,3.0,5.0,6.4,insufficient_support,False
Czechia,1,2,0.0027,0.0042,0.0015,100.0,55.6,insufficient_support,country,raw,1.0,1.0,-36.8,insufficient_support,True
Germany,1,2,0.0027,0.0042,0.0015,100.0,55.6,insufficient_support,country,raw,,,,no_panel,False
Israel,6,8,0.0159,0.017,0.0011,33.3,6.9,stable,country,raw,2.0,5.0,59.6,insufficient_support,False
Denmark,1,1,0.0027,0.0021,-0.0006,0.0,-22.2,insufficient_support,country,raw,1.0,1.0,-36.8,insufficient_support,True
Australia,2,2,0.0053,0.0042,-0.0011,0.0,-20.8,insufficient_support,country,raw,2.0,1.0,-68.4,insufficient_support,True
United Kingdom,8,9,0.0212,0.0191,-0.0021,12.5,-9.9,stable,country,raw,0.0,5.0,,insufficient_support,False
Nigeria,1,0,0.0027,0.0,-0.0027,-100.0,-100.0,insufficient_support,country,raw,1.0,0.0,-100.0,insufficient_support,True
Turkey,1,0,0.0027,0.0,-0.0027,-100.0,-100.0,insufficient_support,country,raw,1.0,0.0,-100.0,insufficient_support,True
Qatar,2,1,0.0053,0.0021,-0.0032,-50.0,-60.4,insufficient_support,country,raw,,,,no_panel,False
Netherlands,8,8,0.0212,0.017,-0.0042,0.0,-19.8,stable,country,raw,0.0,3.0,,insufficient_support,False
Peru,2,0,0.0053,0.0,-0.0053,-100.0,-100.0,insufficient_support,country,raw,,,,no_panel,False
Ghana,2,0,0.0053,0.0,-0.0053,-100.0,-100.0,insufficient_support,country,raw,,,,no_panel,False
Sudan,7,6,0.0186,0.0127,-0.0059,-14.3,-31.7,decline,country,raw,2.0,6.0,91.9,insufficient_support,False
Switzerland,7,6,0.0186,0.0127,-0.0059,-14.3,-31.7,decline,country,raw,,,,no_panel,False
Japan,9,8,0.0239,0.017,-0.0069,-11.1,-28.9,decline,country,raw,5.0,3.0,-61.8,insufficient_support,False
United States,103,125,0.2732,0.2654,-0.0078,21.4,-2.9,stable,country,raw,48.0,93.0,23.8,stable,True
Uruguay,3,0,0.008,0.0,-0.008,-100.0,-100.0,insufficient_support,country,raw,,,,no_panel,False
Spain,5,2,0.0133,0.0042,-0.0091,-60.0,-68.4,insufficient_support,country,raw,4.0,2.0,-68.0,insufficient_support,True
Portugal,5,2,0.0133,0.0042,-0.0091,-60.0,-68.4,insufficient_support,country,raw,1.0,0.0,-100.0,insufficient_support,True
China,5,0,0.0133,0.0,-0.0133,-100.0,-100.0,insufficient_support,country,raw,4.0,0.0,-100.0,insufficient_support,True
Poland,15,12,0.0398,0.0255,-0.0143,-20.0,-35.9,decline,country,raw,10.0,2.0,-87.2,decline,True
Canada,9,3,0.0239,0.0064,-0.0175,-66.7,-73.2,decline,country,raw,5.0,2.0,-74.4,insufficient_support,False
