segment,n_h1,n_h2,share_h1,share_h2,share_delta,count_change_pct,share_change_pct,direction,dimension,panel,n_h1_balanced,n_h2_balanced,share_change_pct_balanced,direction_balanced,directions_agree
Analytics,61,94,0.1618,0.1996,0.0378,54.1,23.4,stable,job_function,raw,25,49,25.2,growth,False
Sales,10,25,0.0265,0.0531,0.0266,150.0,100.4,growth,job_function,raw,4,19,203.7,growth,True
Technical Sales,57,81,0.1512,0.172,0.0208,42.1,13.8,stable,job_function,raw,27,33,-21.9,stable,True
Product / Program,1,2,0.0027,0.0042,0.0015,100.0,55.6,insufficient_support,job_function,raw,1,1,-36.8,insufficient_support,True
Support / Admin,1,2,0.0027,0.0042,0.0015,100.0,55.6,insufficient_support,job_function,raw,0,1,,insufficient_support,True
Facilities / Operations,42,53,0.1114,0.1125,0.0011,26.2,1.0,stable,job_function,raw,10,16,2.4,stable,True
Marketing / Communications,1,1,0.0027,0.0021,-0.0006,0.0,-22.2,insufficient_support,job_function,raw,1,1,-36.8,insufficient_support,True
Other,11,9,0.0292,0.0191,-0.0101,-18.2,-34.6,decline,job_function,raw,2,5,59.6,insufficient_support,False
Engineering,108,123,0.2865,0.2611,-0.0254,13.9,-8.9,stable,job_function,raw,52,57,-29.9,decline,False
Science / Research,85,81,0.2255,0.172,-0.0535,-4.7,-23.7,stable,job_function,raw,25,48,22.7,stable,True
