period,raw_postings,raw_publishers,is_partial,balanced_postings,raw_index,balanced_index,chained_index,chained_matched_publishers,bilateral_index,bilateral_matched_publishers
2023-01,90,23,False,39,100.0,100.0,100.0,23,100.0,23
2023-02,22,6,False,16,24.44,41.03,61.29,3,61.29,3
2023-03,57,21,False,17,63.33,43.59,79.68,4,76.92,8
2023-04,69,20,False,25,76.67,64.1,109.03,12,89.09,9
2023-05,61,25,False,20,67.78,51.28,93.73,14,77.19,11
2023-06,78,26,False,30,86.67,76.92,121.85,15,103.57,10
2023-07,92,22,False,44,102.22,112.82,240.72,11,157.45,8
2023-08,102,22,False,44,113.33,112.82,194.43,10,118.75,8
2023-09,65,20,False,28,72.22,71.79,120.93,9,94.29,5
2023-10,70,16,False,43,77.78,110.26,141.51,6,109.52,5
2023-11,60,19,False,26,66.67,66.67,112.73,9,89.19,6
2023-12,82,16,False,45,91.11,115.38,185.38,9,191.18,5
