publisher,postings,periods_present,first_period,last_period,coverage_of_periods,is_continuous
via LinkedIn,214,12,2023-01,2023-12,1.0,True
via BeBee,112,11,2023-01,2023-12,0.9167,False
via The Muse,58,5,2023-08,2023-12,0.4167,False
via Google Careers,56,5,2023-01,2023-06,0.4167,False
via Trabajo.org,51,9,2023-01,2023-10,0.75,False
via Recruit.net,41,8,2023-01,2023-09,0.6667,False
via BeBee Singapore,25,5,2023-01,2023-12,0.4167,False
via Indeed,18,8,2023-03,2023-12,0.6667,False
via Ladders,18,6,2023-01,2023-07,0.5,False
via BeBee Chile,18,6,2023-01,2023-07,0.5,False
via BeBee Ireland,14,7,2023-06,2023-12,0.5833,False
via Karkidi,13,1,2023-01,2023-01,0.0833,False
via Ai-Jobs.net,12,5,2023-02,2023-06,0.4167,False
via CakeResume,11,5,2023-01,2023-09,0.4167,False
via BeBee India,10,6,2023-01,2023-11,0.5,False
via Sercanto,9,4,2023-04,2023-10,0.3333,False
"via Trabajo.org - Vacantes De Empleo, Trabajo",9,6,2023-03,2023-08,0.5,False
via Nexxt,7,6,2023-01,2023-08,0.5,False
via Jooble,7,3,2023-04,2023-09,0.25,False
via Jobs Trabajo.org,7,5,2023-01,2023-12,0.4167,False
via Talent.com,6,1,2023-01,2023-01,0.0833,False
via BeBee Belgique,6,3,2023-09,2023-11,0.25,False
via Empregos Trabajo.org,5,5,2023-01,2023-12,0.4167,False
via SimplyHired,5,4,2023-06,2023-09,0.3333,False
via Adzuna,5,4,2023-02,2023-11,0.3333,False
via Catho,5,4,2023-03,2023-10,0.3333,False
via BeBee Nederland,4,3,2023-04,2023-06,0.25,False
via GrabJobs,4,2,2023-09,2023-11,0.1667,False
via BeBee México,4,3,2023-03,2023-07,0.25,False
via BeBee Schweiz,4,2,2023-01,2023-09,0.1667,False
via 채용 - Jooble,3,2,2023-04,2023-06,0.1667,False
via Praca Trabajo.org,3,2,2023-06,2023-12,0.1667,False
via BeBee Portugal,3,3,2023-05,2023-11,0.25,False
via Linkedin,3,3,2023-03,2023-05,0.25,False
via Shine,3,2,2023-10,2023-11,0.1667,False
via Singapore | JobsDB,3,3,2023-06,2023-08,0.25,False
via Snagajob,3,2,2023-11,2023-12,0.1667,False
via Jora,3,3,2023-03,2023-05,0.25,False
via Jobrapido.com,3,2,2023-10,2023-11,0.1667,False
via Jobs In India - Job Vacancies In India,2,1,2023-01,2023-01,0.0833,False
via BeBee Israel,2,1,2023-01,2023-01,0.0833,False
via Vacatures Trabajo.org,2,1,2023-11,2023-11,0.0833,False
via XING,2,2,2023-11,2023-12,0.1667,False
via CareerBuilder,2,2,2023-03,2023-05,0.1667,False
via Intellijobs.ai,2,2,2023-01,2023-05,0.1667,False
via BeBee Colombia,1,1,2023-06,2023-06,0.0833,False
via Ph.linkedin.com,1,1,2023-12,2023-12,0.0833,False
via 인디드,1,1,2023-10,2023-10,0.0833,False
via 台湾職缺 - Jooble,1,1,2023-03,2023-03,0.0833,False
via Sa.jobmeo.com,1,1,2023-06,2023-06,0.0833,False
via إنديد,1,1,2023-08,2023-08,0.0833,False
via WJTV Jobs,1,1,2023-07,2023-07,0.0833,False
via SpaceTalent Talent Network,1,1,2023-08,2023-08,0.0833,False
via Trabajo. Org,1,1,2023-08,2023-08,0.0833,False
via Stepstone,1,1,2023-12,2023-12,0.0833,False
via BeBee Kenya,1,1,2023-09,2023-09,0.0833,False
via Tarta.ai,1,1,2023-03,2023-03,0.0833,False
via The Ad Club Job Board,1,1,2023-06,2023-06,0.0833,False
via The IEEE Computer Society,1,1,2023-07,2023-07,0.0833,False
via Työpaikat | Indeed,1,1,2023-08,2023-08,0.0833,False
via The Job,1,1,2023-10,2023-10,0.0833,False
via BeBee Canada,1,1,2023-04,2023-04,0.0833,False
via Trabajo En Chile,1,1,2023-01,2023-01,0.0833,False
via Outlookedd.in,1,1,2023-09,2023-09,0.0833,False
via Emprego,1,1,2023-08,2023-08,0.0833,False
via Nationale Vacaturebank,1,1,2023-11,2023-11,0.0833,False
via Built In Austin,1,1,2023-09,2023-09,0.0833,False
via EMPREGO.pt,1,1,2023-09,2023-09,0.0833,False
via Engineering Jobs - Interesting Engineering,1,1,2023-08,2023-08,0.0833,False
via Fairygodboss,1,1,2023-12,2023-12,0.0833,False
via Foundit.in,1,1,2023-09,2023-09,0.0833,False
via Google Operations Center,1,1,2023-01,2023-01,0.0833,False
via JOBATUS,1,1,2023-12,2023-12,0.0833,False
via JobLeads,1,1,2023-03,2023-03,0.0833,False
via Jobg8,1,1,2023-11,2023-11,0.0833,False
via Jobs In India - Job Vacancies In India - Govhelp.in,1,1,2023-03,2023-03,0.0833,False
via California Jobs - Tarta.ai🌴,1,1,2023-03,2023-03,0.0833,False
via Jobs | Jobsite Direct,1,1,2023-09,2023-09,0.0833,False
via Jobvision.in,1,1,2023-09,2023-09,0.0833,False
via CBIRT,1,1,2023-05,2023-05,0.0833,False
via Adzuna.nl,1,1,2023-01,2023-01,0.0833,False
via MyJobMag,1,1,2023-05,2023-05,0.0833,False
via Lavoro Trabajo.org,1,1,2023-07,2023-07,0.0833,False
via Learn4Good,1,1,2023-07,2023-07,0.0833,False
via Lensa,1,1,2023-02,2023-02,0.0833,False
via Lightningbolt,1,1,2023-10,2023-10,0.0833,False
via BeBee 日本,1,1,2023-07,2023-07,0.0833,False
via LinkedIn Belgium,1,1,2023-12,2023-12,0.0833,False
via LinkedIn Ghana,1,1,2023-04,2023-04,0.0833,False
via LinkedIn Hungary,1,1,2023-08,2023-08,0.0833,False
via LinkedIn Uruguay,1,1,2023-05,2023-05,0.0833,False
via MNC Jobs,1,1,2023-05,2023-05,0.0833,False
via Emprego.pt,1,1,2023-01,2023-01,0.0833,False
via My Stateline Jobs,1,1,2023-06,2023-06,0.0833,False
via My Valley Jobs Today,1,1,2023-06,2023-06,0.0833,False
via Mendeley,1,1,2023-07,2023-07,0.0833,False
