job_via,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12
via Adzuna,0,1,0,0,0,0,1,0,2,0,1,0
via Adzuna.nl,1,0,0,0,0,0,0,0,0,0,0,0
via Ai-Jobs.net,0,1,3,4,1,3,0,0,0,0,0,0
via BeBee,9,0,3,5,7,11,5,14,11,22,9,16
via BeBee Belgique,0,0,0,0,0,0,0,0,1,2,3,0
via BeBee Canada,0,0,0,1,0,0,0,0,0,0,0,0
via BeBee Chile,3,0,5,3,3,2,2,0,0,0,0,0
via BeBee Colombia,0,0,0,0,0,1,0,0,0,0,0,0
via BeBee India,3,0,0,2,1,1,0,2,0,0,1,0
via BeBee Ireland,0,0,0,0,0,1,2,3,2,3,1,2
via BeBee Israel,2,0,0,0,0,0,0,0,0,0,0,0
via BeBee Kenya,0,0,0,0,0,0,0,0,1,0,0,0
via BeBee México,0,0,2,0,1,0,1,0,0,0,0,0
via BeBee Nederland,0,0,0,1,2,1,0,0,0,0,0,0
via BeBee Portugal,0,0,0,0,1,1,0,0,0,0,1,0
via BeBee Schweiz,2,0,0,0,0,0,0,0,2,0,0,0
via BeBee Singapore,1,0,0,0,0,0,1,0,0,2,3,18
via BeBee 日本,0,0,0,0,0,0,1,0,0,0,0,0
via Built In Austin,0,0,0,0,0,0,0,0,1,0,0,0
via CBIRT,0,0,0,0,1,0,0,0,0,0,0,0
via CakeResume,1,0,0,4,0,0,1,3,2,0,0,0
via California Jobs - Tarta.ai🌴,0,0,1,0,0,0,0,0,0,0,0,0
via CareerBuilder,0,0,1,0,1,0,0,0,0,0,0,0
via Catho,0,0,2,0,1,1,0,0,0,1,0,0
via EMPREGO.pt,0,0,0,0,0,0,0,0,1,0,0,0
via Emprego,0,0,0,0,0,0,0,1,0,0,0,0
via Emprego.pt,1,0,0,0,0,0,0,0,0,0,0,0
via Empregos Trabajo.org,1,0,0,0,1,1,0,0,0,0,1,1
via Engineering Jobs - Interesting Engineering,0,0,0,0,0,0,0,1,0,0,0,0
via Fairygodboss,0,0,0,0,0,0,0,0,0,0,0,1
via Foundit.in,0,0,0,0,0,0,0,0,1,0,0,0
via Google Careers,6,0,6,12,12,20,0,0,0,0,0,0
via Google Operations Center,1,0,0,0,0,0,0,0,0,0,0,0
via GrabJobs,0,0,0,0,0,0,0,0,2,0,2,0
via Indeed,0,0,1,2,0,3,1,4,4,2,0,1
via Intellijobs.ai,1,0,0,0,1,0,0,0,0,0,0,0
via JOBATUS,0,0,0,0,0,0,0,0,0,0,0,1
via JobLeads,0,0,1,0,0,0,0,0,0,0,0,0
via Jobg8,0,0,0,0,0,0,0,0,0,0,1,0
via Jobrapido.com,0,0,0,0,0,0,0,0,0,1,2,0
via Jobs In India - Job Vacancies In India,2,0,0,0,0,0,0,0,0,0,0,0
via Jobs In India - Job Vacancies In India - Govhelp.in,0,0,1,0,0,0,0,0,0,0,0,0
via Jobs Trabajo.org,2,0,0,0,0,0,0,1,0,1,2,1
via Jobs | Jobsite Direct,0,0,0,0,0,0,0,0,1,0,0,0
via Jobvision.in,0,0,0,0,0,0,0,0,1,0,0,0
via Jooble,0,0,0,2,0,0,0,4,1,0,0,0
via Jora,0,0,1,1,1,0,0,0,0,0,0,0
via Karkidi,13,0,0,0,0,0,0,0,0,0,0,0
via Ladders,1,3,9,0,2,1,2,0,0,0,0,0
via Lavoro Trabajo.org,0,0,0,0,0,0,1,0,0,0,0,0
via Learn4Good,0,0,0,0,0,0,1,0,0,0,0,0
via Lensa,0,1,0,0,0,0,0,0,0,0,0,0
via Lightningbolt,0,0,0,0,0,0,0,0,0,1,0,0
via LinkedIn,21,11,9,8,9,18,34,23,17,18,17,29
via LinkedIn Belgium,0,0,0,0,0,0,0,0,0,0,0,1
via LinkedIn Ghana,0,0,0,1,0,0,0,0,0,0,0,0
via LinkedIn Hungary,0,0,0,0,0,0,0,1,0,0,0,0
via LinkedIn Uruguay,0,0,0,0,1,0,0,0,0,0,0,0
via Linkedin,0,0,1,1,1,0,0,0,0,0,0,0
via MNC Jobs,0,0,0,0,1,0,0,0,0,0,0,0
via Mendeley,0,0,0,0,0,0,1,0,0,0,0,0
via My Stateline Jobs,0,0,0,0,0,1,0,0,0,0,0,0
via My Valley Jobs Today,0,0,0,0,0,1,0,0,0,0,0,0
via MyJobMag,0,0,0,0,1,0,0,0,0,0,0,0
via Nationale Vacaturebank,0,0,0,0,0,0,0,0,0,0,1,0
via Nexxt,1,0,1,1,1,2,0,1,0,0,0,0
via Outlookedd.in,0,0,0,0,0,0,0,0,1,0,0,0
via Ph.linkedin.com,0,0,0,0,0,0,0,0,0,0,0,1
via Praca Trabajo.org,0,0,0,0,0,1,0,0,0,0,0,2
via Recruit.net,2,0,2,2,3,1,24,6,1,0,0,0
via Sa.jobmeo.com,0,0,0,0,0,1,0,0,0,0,0,0
via Sercanto,0,0,0,4,2,0,1,0,0,2,0,0
via Shine,0,0,0,0,0,0,0,0,0,2,1,0
via SimplyHired,0,0,0,0,0,1,2,1,1,0,0,0
via Singapore | JobsDB,0,0,0,0,0,1,1,1,0,0,0,0
via Snagajob,0,0,0,0,0,0,0,0,0,0,2,1
via SpaceTalent Talent Network,0,0,0,0,0,0,0,1,0,0,0,0
via Stepstone,0,0,0,0,0,0,0,0,0,0,0,1
via Talent.com,6,0,0,0,0,0,0,0,0,0,0,0
via Tarta.ai,0,0,1,0,0,0,0,0,0,0,0,0
via The Ad Club Job Board,0,0,0,0,0,1,0,0,0,0,0,0
via The IEEE Computer Society,0,0,0,0,0,0,1,0,0,0,0,0
via The Job,0,0,0,0,0,0,0,0,0,1,0,0
via The Muse,0,0,0,0,0,0,0,24,12,8,9,5
via Trabajo En Chile,1,0,0,0,0,0,0,0,0,0,0,0
via Trabajo. Org,0,0,0,0,0,0,0,1,0,0,0,0
via Trabajo.org,9,5,5,12,4,1,5,7,0,3,0,0
"via Trabajo.org - Vacantes De Empleo, Trabajo",0,0,1,1,2,1,3,1,0,0,0,0
via Työpaikat | Indeed,0,0,0,0,0,0,0,1,0,0,0,0
via Vacatures Trabajo.org,0,0,0,0,0,0,0,0,0,0,2,0
via WJTV Jobs,0,0,0,0,0,0,1,0,0,0,0,0
via XING,0,0,0,0,0,0,0,0,0,0,1,1
via إنديد,0,0,0,0,0,0,0,1,0,0,0,0
via 台湾職缺 - Jooble,0,0,1,0,0,0,0,0,0,0,0,0
via 인디드,0,0,0,0,0,0,0,0,0,1,0,0
via 채용 - Jooble,0,0,0,2,0,1,0,0,0,0,0,0
