cycle,level,postings,share,expected_share,index_vs_uniform,observations_per_level,identifiable
day_of_week,Monday,100,0.1179,0.1429,0.825,53,True
day_of_week,Tuesday,121,0.1427,0.1429,0.999,53,True
day_of_week,Wednesday,147,0.1733,0.1429,1.213,53,True
day_of_week,Thursday,138,0.1627,0.1429,1.139,53,True
day_of_week,Friday,161,0.1899,0.1429,1.329,53,True
day_of_week,Saturday,91,0.1073,0.1429,0.751,53,True
day_of_week,Sunday,90,0.1061,0.1429,0.743,53,True
month_of_year,01,90,0.1061,0.0833,1.274,0,False
month_of_year,02,22,0.0259,0.0833,0.311,0,False
month_of_year,03,57,0.0672,0.0833,0.807,0,False
month_of_year,04,69,0.0814,0.0833,0.976,0,False
month_of_year,05,61,0.0719,0.0833,0.863,0,False
month_of_year,06,78,0.092,0.0833,1.104,0,False
month_of_year,07,92,0.1085,0.0833,1.302,0,False
month_of_year,08,102,0.1203,0.0833,1.443,0,False
month_of_year,09,65,0.0767,0.0833,0.92,0,False
month_of_year,10,70,0.0825,0.0833,0.991,0,False
month_of_year,11,60,0.0708,0.0833,0.849,0,False
month_of_year,12,82,0.0967,0.0833,1.16,0,False
