period,skill,skill_category,n_postings,postings_with_skills,share_of_skilled,meets_support
2023-01,Python,Programming Language,43,61,0.7049,True
2023-01,R,Programming Language,29,61,0.4754,True
2023-01,SQL,Programming Language,19,61,0.3115,True
2023-01,SAS,Analytics / BI,14,61,0.2295,True
2023-01,Java,Programming Language,13,61,0.2131,True
2023-01,JavaScript,Programming Language,12,61,0.1967,True
2023-01,C++,Programming Language,10,61,0.1639,True
2023-01,Go,Programming Language,10,61,0.1639,True
2023-01,Tableau,Analytics / BI,10,61,0.1639,True
2023-01,Hadoop,Data Engineering,8,61,0.1311,True
2023-01,MATLAB,Programming Language,8,61,0.1311,True
2023-01,BigQuery,Cloud Platform,5,61,0.082,True
2023-01,C,Programming Language,5,61,0.082,True
2023-01,Plotly,Data Science Libraries,5,61,0.082,False
2023-01,TensorFlow,ML / AI,5,61,0.082,True
2023-01,Looker,Analytics / BI,4,61,0.0656,True
2023-01,CSS,Web / Frontend,3,61,0.0492,False
2023-01,HTML,Web / Frontend,3,61,0.0492,False
2023-01,Machine Learning,ML / AI,3,61,0.0492,True
2023-01,Spark,Data Engineering,3,61,0.0492,True
2023-01,C#,Programming Language,2,61,0.0328,True
2023-01,GitHub,DevOps / Infrastructure,2,61,0.0328,False
2023-01,Kubernetes,DevOps / Infrastructure,2,61,0.0328,True
2023-01,Oracle,Database,2,61,0.0328,True
2023-01,SAP,Analytics / BI,2,61,0.0328,True
2023-01,Scala,Programming Language,2,61,0.0328,True
2023-01,Airflow,Data Engineering,1,61,0.0164,True
2023-01,Cassandra,Database,1,61,0.0164,False
2023-01,Cognos,Analytics / BI,1,61,0.0164,False
2023-01,Express,Web / Frontend,1,61,0.0164,True
2023-01,GCP,Cloud Platform,1,61,0.0164,True
2023-01,Linux,OS / Shell,1,61,0.0164,True
2023-01,MicroStrategy,Analytics / BI,1,61,0.0164,False
2023-01,Microsoft Access,Database,1,61,0.0164,False
2023-01,MongoDB,Database,1,61,0.0164,True
2023-01,NoSQL,Database,1,61,0.0164,True
2023-01,Perl,Programming Language,1,61,0.0164,True
2023-01,Power BI,Analytics / BI,1,61,0.0164,False
2023-01,Qlik,Analytics / BI,1,61,0.0164,False
2023-01,Shell,OS / Shell,1,61,0.0164,True
