segment,n_h1,n_h2,share_h1,share_h2,share_delta,count_change_pct,share_change_pct,direction,dimension,panel
Data Analytics / BI,88,136,0.2334,0.2887,0.0553,54.5,23.7,stable,job_category,raw
AI / ML,35,49,0.0928,0.104,0.0112,40.0,12.1,stable,job_category,raw
Data Science,88,115,0.2334,0.2442,0.0108,30.7,4.6,stable,job_category,raw
Cloud / Infrastructure,38,50,0.1008,0.1062,0.0054,31.6,5.4,stable,job_category,raw
Hardware / Silicon,3,5,0.008,0.0106,0.0026,66.7,32.5,insufficient_support,job_category,raw
Product / Program,0,1,0.0,0.0021,0.0021,,,insufficient_support,job_category,raw
Data Center / Facilities,42,53,0.1114,0.1125,0.0011,26.2,1.0,stable,job_category,raw
Business / Strategy / Ops,1,1,0.0027,0.0021,-0.0006,0.0,-22.2,insufficient_support,job_category,raw
Sales / Marketing / GTM,2,1,0.0053,0.0021,-0.0032,-50.0,-60.4,insufficient_support,job_category,raw
Other,7,7,0.0186,0.0149,-0.0037,0.0,-19.9,stable,job_category,raw
Software Engineering,19,22,0.0504,0.0467,-0.0037,15.8,-7.3,stable,job_category,raw
Research / Academic,2,0,0.0053,0.0,-0.0053,-100.0,-100.0,insufficient_support,job_category,raw
Data Engineering,52,31,0.1379,0.0658,-0.0721,-40.4,-52.3,decline,job_category,raw
