period,postings,n_publishers,days_in_period,days_observed,is_partial,postings_per_week,index_base_100,growth_pct,log_growth,rolling_mean,acceleration
2023-01,90,23,31,31,False,20.323,100.0,,,20.323,
2023-02,22,6,28,28,False,5.5,27.06,-72.94,-1.307,12.912,
2023-03,57,21,31,31,False,12.871,63.33,134.02,0.8502,12.898,206.96
2023-04,69,20,30,30,False,16.1,79.22,25.09,0.2238,11.49,-108.93
2023-05,61,25,31,31,False,13.774,67.78,-14.45,-0.156,14.248,-39.54
2023-06,78,26,30,30,False,18.2,89.55,32.13,0.2786,16.025,46.58
2023-07,92,22,31,31,False,20.774,102.22,14.14,0.1323,17.583,-17.99
2023-08,102,22,31,31,False,23.032,113.33,10.87,0.1032,20.669,-3.27
2023-09,65,20,30,30,False,15.167,74.63,-34.15,-0.4178,19.658,-45.02
2023-10,70,16,31,31,False,15.806,77.77,4.21,0.0413,18.002,38.36
2023-11,60,19,30,30,False,14.0,68.89,-11.43,-0.1213,14.991,-15.64
2023-12,82,16,31,31,False,18.516,91.11,32.26,0.2796,16.107,43.69
