company,publisher,postings,share_of_company_postings,skill_coverage
databricks,via BeBee,48,0.1412,1.0
databricks,via Indeed,18,0.0529,1.0
databricks,via Ladders,2,0.0059,1.0
databricks,via LinkedIn,104,0.3059,1.0
databricks,via Recruit.net,3,0.0088,1.0
databricks,via SimplyHired,4,0.0118,1.0
databricks,via Trabajo.org,4,0.0118,1.0
google,via BeBee,112,0.1324,0.75
google,via Indeed,18,0.0213,0.5556
google,via Ladders,18,0.0213,1.0
google,via LinkedIn,214,0.253,0.8084
google,via Recruit.net,40,0.0473,0.7
google,via SimplyHired,5,0.0059,0.6
google,via Trabajo.org,51,0.0603,0.7059
meta,via BeBee,132,0.1287,0.9242
meta,via Indeed,46,0.0448,0.9348
meta,via Ladders,38,0.037,0.8684
meta,via LinkedIn,79,0.077,0.8354
meta,via Recruit.net,27,0.0263,0.9259
meta,via SimplyHired,5,0.0049,0.6
meta,via Trabajo.org,124,0.1209,0.9113
microsoft,via BeBee,76,0.1162,0.8553
microsoft,via Indeed,37,0.0566,0.7568
microsoft,via Ladders,1,0.0015,1.0
microsoft,via LinkedIn,161,0.2462,0.8261
microsoft,via Recruit.net,15,0.0229,0.8667
microsoft,via SimplyHired,7,0.0107,0.7143
microsoft,via Trabajo.org,101,0.1544,0.7723
nvidia,via BeBee,28,0.1033,0.75
nvidia,via Indeed,15,0.0554,0.9333
nvidia,via Ladders,2,0.0074,1.0
nvidia,via LinkedIn,62,0.2288,0.9355
nvidia,via Recruit.net,2,0.0074,1.0
nvidia,via SimplyHired,1,0.0037,1.0
nvidia,via Trabajo.org,73,0.2694,0.8493
snowflake,via BeBee,32,0.0696,1.0
snowflake,via Indeed,8,0.0174,1.0
snowflake,via Ladders,1,0.0022,1.0
snowflake,via LinkedIn,40,0.087,1.0
snowflake,via Recruit.net,5,0.0109,1.0
snowflake,via SimplyHired,1,0.0022,1.0
snowflake,via Trabajo.org,21,0.0457,1.0
