skill,skill_category,company_a,company_b,a_with_skill,a_n,a_share,b_with_skill,b_n,b_share,diff,ci_low,ci_high,p_value,q_value,significant,a_vendor_relation,b_vendor_relation,self_referential
Java,Programming Language,google,meta,132,590,0.2237,72,838,0.0859,0.1378,0.0998,0.1771,2.3356951182696377e-13,0.0,True,,,False
Go,Programming Language,google,meta,94,590,0.1593,19,838,0.0227,0.1366,0.1066,0.1694,4.543061424073169e-21,0.0,True,origin,,True
Looker,Analytics / BI,google,meta,70,590,0.1186,5,838,0.006,0.1127,0.0877,0.1415,5.521943475191733e-21,0.0,True,own_product,,True
JavaScript,Programming Language,google,meta,73,590,0.1237,17,838,0.0203,0.1034,0.0765,0.1334,2.3624977666463326e-15,0.0,True,,,False
BigQuery,Cloud Platform,google,meta,62,590,0.1051,11,838,0.0131,0.092,0.0675,0.1199,7.903406010362024e-15,0.0,True,own_product,,True
TensorFlow,ML / AI,google,meta,71,590,0.1203,32,838,0.0382,0.0822,0.0539,0.1129,3.44358948546108e-09,0.0,True,origin,,True
Linux,OS / Shell,google,meta,49,590,0.0831,7,838,0.0084,0.0747,0.0532,0.1001,8.033986021064016e-13,0.0,True,,,False
NoSQL,Database,google,meta,47,590,0.0797,5,838,0.006,0.0737,0.0529,0.0986,2.471993260696999e-13,0.0,True,,,False
C,Programming Language,google,meta,36,590,0.061,15,838,0.0179,0.0431,0.0229,0.0665,1.5374638306790452e-05,4e-05,True,,,False
GCP,Cloud Platform,google,meta,24,590,0.0407,1,838,0.0012,0.0395,0.0252,0.0586,2.1191696226177025e-08,0.0,True,own_product,,True
MongoDB,Database,google,meta,21,590,0.0356,0,838,0.0,0.0356,0.0226,0.0538,3.754497465422978e-08,0.0,True,,,False
SAP,Analytics / BI,google,meta,19,590,0.0322,2,838,0.0024,0.0298,0.0167,0.0474,4.044226346714244e-06,1e-05,True,,,False
Oracle,Database,google,meta,20,590,0.0339,5,838,0.006,0.0279,0.0137,0.0461,7.405099177421363e-05,0.00016,True,,,False
Snowflake,Cloud Platform,google,meta,15,590,0.0254,1,838,0.0012,0.0242,0.0128,0.0404,1.8400224526087325e-05,4e-05,True,,,False
Kubernetes,DevOps / Infrastructure,google,meta,12,590,0.0203,0,838,0.0,0.0203,0.0105,0.0352,3.384775749562158e-05,8e-05,True,origin,,True
