skill,skill_category,company_a,company_b,a_with_skill,a_n,a_share,b_with_skill,b_n,b_share,diff,ci_low,ci_high,p_value,q_value,significant,a_vendor_relation,b_vendor_relation,self_referential
R,Programming Language,google,microsoft,214,590,0.3627,76,504,0.1508,0.2119,0.1612,0.2607,2.4579847256643547e-15,0.0,True,,,False
Python,Programming Language,google,microsoft,372,590,0.6305,239,504,0.4742,0.1563,0.0973,0.2139,2.109253823208836e-07,0.0,True,,,False
Looker,Analytics / BI,google,microsoft,70,590,0.1186,0,504,0.0,0.1186,0.0938,0.1472,1.319470516099407e-15,0.0,True,own_product,,True
Go,Programming Language,google,microsoft,94,590,0.1593,25,504,0.0496,0.1097,0.0743,0.1451,6.2576271409538485e-09,0.0,True,origin,,True
BigQuery,Cloud Platform,google,microsoft,62,590,0.1051,0,504,0.0,0.1051,0.0816,0.1324,6.733295324791688e-14,0.0,True,own_product,,True
Machine Learning,ML / AI,google,microsoft,61,590,0.1034,11,504,0.0218,0.0816,0.0538,0.1104,5.8527342549069284e-08,0.0,True,,,False
NoSQL,Database,google,microsoft,47,590,0.0797,18,504,0.0357,0.0439,0.0162,0.0718,0.002177641726903217,0.00402,True,,,False
TensorFlow,ML / AI,google,microsoft,71,590,0.1203,40,504,0.0794,0.041,0.005,0.0763,0.025268486781407116,0.03923,True,origin,,True
JavaScript,Programming Language,google,microsoft,73,590,0.1237,44,504,0.0873,0.0364,-0.0005,0.0726,0.05198209642273013,0.06783,False,,,False
Linux,OS / Shell,google,microsoft,49,590,0.0831,25,504,0.0496,0.0334,0.0035,0.0631,0.028103685659025265,0.04252,True,,,False
Scala,Programming Language,google,microsoft,53,590,0.0898,29,504,0.0575,0.0323,0.0008,0.0633,0.04320004229566103,0.05793,False,,,False
SAS,Analytics / BI,google,microsoft,34,590,0.0576,16,504,0.0317,0.0259,0.0008,0.0508,0.041039015080407464,0.05631,False,,,False
MATLAB,Programming Language,google,microsoft,30,590,0.0508,14,504,0.0278,0.0231,-0.0006,0.0467,0.052886723774156146,0.06783,False,,,False
Shell,OS / Shell,google,microsoft,14,590,0.0237,4,504,0.0079,0.0158,0.0002,0.0322,0.04068805976786443,0.05631,False,,,False
SQL,Programming Language,google,microsoft,255,590,0.4322,210,504,0.4167,0.0155,-0.0432,0.0739,0.6043519016897329,0.67277,False,,,False
Oracle,Database,google,microsoft,20,590,0.0339,11,504,0.0218,0.0121,-0.0085,0.0324,0.2303184468707648,0.26645,False,,,False
Express,Web / Frontend,google,microsoft,15,590,0.0254,8,504,0.0159,0.0096,-0.0086,0.0274,0.27239798950964106,0.30907,False,,,False
pandas,Data Science Libraries,google,microsoft,17,590,0.0288,13,504,0.0258,0.003,-0.0178,0.023,0.7604664529906993,0.77358,False,,,False
Airflow,Data Engineering,google,microsoft,11,590,0.0186,8,504,0.0159,0.0028,-0.0144,0.0192,0.7265530150243572,0.75205,False,,,False
SAP,Analytics / BI,google,microsoft,19,590,0.0322,16,504,0.0317,0.0005,-0.0219,0.0218,0.965823193142368,0.96582,False,,,False
MongoDB,Database,google,microsoft,21,590,0.0356,20,504,0.0397,-0.0041,-0.0282,0.0188,0.7226101082680481,0.75205,False,,,False
GCP,Cloud Platform,google,microsoft,24,590,0.0407,23,504,0.0456,-0.005,-0.0305,0.0194,0.6869225871973688,0.73688,False,own_product,,True
Tableau,Analytics / BI,google,microsoft,30,590,0.0508,29,504,0.0575,-0.0067,-0.0349,0.0203,0.6252278131130902,0.68312,False,,,False
TypeScript,Programming Language,google,microsoft,9,590,0.0153,14,504,0.0278,-0.0125,-0.0322,0.005,0.1500964415216457,0.18449,False,,origin,True
Snowflake,Cloud Platform,google,microsoft,15,590,0.0254,20,504,0.0397,-0.0143,-0.0373,0.007,0.18160479593455864,0.21867,False,,,False
Angular,Web / Frontend,google,microsoft,3,590,0.0051,11,504,0.0218,-0.0167,-0.0339,-0.0031,0.014067448915166472,0.02371,True,origin,,True
GitHub,DevOps / Infrastructure,google,microsoft,4,590,0.0068,12,504,0.0238,-0.017,-0.0349,-0.0024,0.01934616956860571,0.03171,True,,own_product,True
MySQL,Database,google,microsoft,5,590,0.0085,13,504,0.0258,-0.0173,-0.0358,-0.0019,0.024796058075964567,0.03923,True,,,False
scikit-learn,ML / AI,google,microsoft,6,590,0.0102,14,504,0.0278,-0.0176,-0.0367,-0.0013,0.030238287954591977,0.0446,True,,,False
PowerPoint,Office / Productivity,google,microsoft,0,590,0.0,10,504,0.0198,-0.0198,-0.0361,-0.0087,0.0005877622097806926,0.00133,True,,own_product,True
Ruby,Programming Language,google,microsoft,1,590,0.0017,11,504,0.0218,-0.0201,-0.037,-0.0077,0.0014405691240537133,0.00283,True,,,False
Cassandra,Database,google,microsoft,2,590,0.0034,13,504,0.0258,-0.0224,-0.0404,-0.0085,0.0014918861281196893,0.00284,True,,,False
Git,DevOps / Infrastructure,google,microsoft,0,590,0.0,12,504,0.0238,-0.0238,-0.0412,-0.0118,0.00016407246005125729,0.00044,True,,,False
Redis,Database,google,microsoft,1,590,0.0017,13,504,0.0258,-0.0241,-0.042,-0.0109,0.00040804055787405135,0.00096,True,,,False
Microsoft Word,Office / Productivity,google,microsoft,3,590,0.0051,15,504,0.0298,-0.0247,-0.0437,-0.0095,0.0013829862261944589,0.00281,True,,own_product,True
C,Programming Language,google,microsoft,36,590,0.061,45,504,0.0893,-0.0283,-0.0609,0.003,0.07508297822834305,0.09425,False,,,False
C++,Programming Language,google,microsoft,102,590,0.1729,102,504,0.2024,-0.0295,-0.0763,0.0167,0.21177712354793066,0.2499,False,,,False
Perl,Programming Language,google,microsoft,17,590,0.0288,30,504,0.0595,-0.0307,-0.0572,-0.0064,0.0125264233581065,0.02174,True,,,False
PostgreSQL,Database,google,microsoft,0,590,0.0,16,504,0.0317,-0.0317,-0.0509,-0.018,1.3016081331700352e-05,4e-05,True,,,False
Kafka,Data Engineering,google,microsoft,4,590,0.0068,20,504,0.0397,-0.0329,-0.0541,-0.0155,0.00021283138879267538,0.00055,True,,,False
PowerShell,OS / Shell,google,microsoft,0,590,0.0,17,504,0.0337,-0.0337,-0.0534,-0.0196,6.9211041838775305e-06,2e-05,True,,own_product,True
CSS,Web / Frontend,google,microsoft,7,590,0.0119,23,504,0.0456,-0.0338,-0.0565,-0.0143,0.0006514678975372603,0.0014,True,,,False
Microsoft Outlook,Office / Productivity,google,microsoft,3,590,0.0051,20,504,0.0397,-0.0346,-0.0557,-0.0177,7.010215807660141e-05,0.0002,True,,own_product,True
React,Web / Frontend,google,microsoft,7,590,0.0119,24,504,0.0476,-0.0358,-0.0588,-0.016,0.0003815796566070579,0.00094,True,,,False
Docker,DevOps / Infrastructure,google,microsoft,9,590,0.0153,26,504,0.0516,-0.0363,-0.0604,-0.0153,0.0006644409365724777,0.0014,True,,,False
