company,job_function,postings,company_postings,share,ci_low,ci_high
databricks,Engineering,226,340,0.6647,0.6129,0.7128
databricks,Analytics,36,340,0.1059,0.0775,0.1431
databricks,Technical Sales,34,340,0.1,0.0724,0.1365
databricks,Other,27,340,0.0794,0.0551,0.1131
databricks,Science / Research,14,340,0.0412,0.0247,0.0679
databricks,Sales,2,340,0.0059,0.0016,0.0212
databricks,Product / Program,1,340,0.0029,0.0005,0.0165
google,Engineering,231,846,0.273,0.2441,0.304
google,Science / Research,166,846,0.1962,0.1709,0.2243
google,Analytics,155,846,0.1832,0.1586,0.2107
google,Technical Sales,136,846,0.1608,0.1375,0.187
google,Facilities / Operations,95,846,0.1123,0.0927,0.1353
google,Sales,35,846,0.0414,0.0299,0.057
google,Other,20,846,0.0236,0.0154,0.0362
google,Support / Admin,3,846,0.0035,0.0012,0.0104
google,Product / Program,3,846,0.0035,0.0012,0.0104
google,Marketing / Communications,2,846,0.0024,0.0006,0.0086
meta,Analytics,456,1026,0.4444,0.4143,0.475
meta,Science / Research,297,1026,0.2895,0.2625,0.318
meta,Engineering,124,1026,0.1209,0.1023,0.1422
meta,Other,89,1026,0.0867,0.071,0.1055
meta,Facilities / Operations,34,1026,0.0331,0.0238,0.046
meta,Sales,20,1026,0.0195,0.0127,0.0299
meta,Support / Admin,4,1026,0.0039,0.0015,0.01
meta,Product / Program,2,1026,0.0019,0.0005,0.0071
microsoft,Engineering,303,654,0.4633,0.4254,0.5016
microsoft,Science / Research,238,654,0.3639,0.3279,0.4015
microsoft,Analytics,44,654,0.0673,0.0505,0.0891
microsoft,Other,35,654,0.0535,0.0387,0.0735
microsoft,Facilities / Operations,22,654,0.0336,0.0223,0.0504
microsoft,Support / Admin,6,654,0.0092,0.0042,0.0199
microsoft,Technical Sales,5,654,0.0076,0.0033,0.0178
microsoft,Product / Program,1,654,0.0015,0.0003,0.0086
nvidia,Engineering,155,271,0.572,0.5124,0.6295
nvidia,Science / Research,50,271,0.1845,0.1428,0.235
nvidia,Analytics,32,271,0.1181,0.0849,0.1619
nvidia,Other,13,271,0.048,0.0282,0.0803
nvidia,Technical Sales,11,271,0.0406,0.0228,0.0712
nvidia,Facilities / Operations,6,271,0.0221,0.0102,0.0475
nvidia,Sales,4,271,0.0148,0.0058,0.0373
snowflake,Engineering,322,460,0.7,0.6566,0.7401
snowflake,Science / Research,60,460,0.1304,0.1027,0.1643
snowflake,Technical Sales,42,460,0.0913,0.0683,0.1211
snowflake,Analytics,17,460,0.037,0.0232,0.0584
snowflake,Other,12,460,0.0261,0.015,0.045
snowflake,Support / Admin,4,460,0.0087,0.0034,0.0221
snowflake,Product / Program,1,460,0.0022,0.0004,0.0122
snowflake,Marketing / Communications,1,460,0.0022,0.0004,0.0122
snowflake,Sales,1,460,0.0022,0.0004,0.0122
