publisher,company,h1_postings,h2_postings,publisher_h1_total,publisher_h2_total,log_share_change
via BeBee,databricks,15,33,108,320,-0.297
via BeBee,google,35,77,108,320,-0.287
via BeBee,meta,30,102,108,320,0.144
via BeBee,microsoft,11,65,108,320,0.672
via BeBee,nvidia,5,23,108,320,0.384
via BeBee,snowflake,12,20,108,320,-0.573
via Indeed,databricks,11,7,58,84,-0.782
via Indeed,google,6,12,58,84,0.299
via Indeed,meta,25,21,58,84,-0.526
via Indeed,microsoft,9,28,58,84,0.744
via Indeed,nvidia,5,10,58,84,0.292
via Indeed,snowflake,2,6,58,84,0.6
via Ladders,databricks,1,1,41,21,0.606
via Ladders,google,16,2,41,21,-1.281
via Ladders,meta,21,17,41,21,0.4
via Ladders,microsoft,1,0,41,21,-0.492
via Ladders,nvidia,1,1,41,21,0.606
via Ladders,snowflake,1,0,41,21,-0.492
via LinkedIn,databricks,23,81,175,485,0.235
via LinkedIn,google,76,138,175,485,-0.415
via LinkedIn,meta,4,75,175,485,1.812
via LinkedIn,microsoft,35,126,175,485,0.262
via LinkedIn,nvidia,9,53,175,485,0.72
via LinkedIn,snowflake,28,12,175,485,-1.833
via Recruit.net,databricks,0,3,32,60,1.358
via Recruit.net,google,9,31,32,60,0.611
via Recruit.net,meta,7,20,32,60,0.418
via Recruit.net,microsoft,11,4,32,60,-1.526
via Recruit.net,nvidia,0,2,32,60,1.022
via Recruit.net,snowflake,5,0,32,60,-2.986
via Trabajo.org,databricks,2,2,198,176,0.116
via Trabajo.org,google,36,15,198,176,-0.741
via Trabajo.org,meta,62,62,198,176,0.116
via Trabajo.org,microsoft,48,53,198,176,0.214
via Trabajo.org,nvidia,30,43,198,176,0.471
via Trabajo.org,snowflake,20,1,198,176,-2.499
