company,skill,skill_category,postings_with_skill,n_skilled,share,rest_with_skill,rest_n_skilled,rest_share,diff,diff_ci_low,diff_ci_high,log_lift,p_value,supported,q_value,significant,vendor_relation,self_referential
databricks,Spring,Web / Frontend,8,340,0.0235,0,2623,0.0,0.0235,0.0119,0.0457,7.031,3.641618897941681e-15,False,0.0,False,,False
databricks,NLTK,ML / AI,3,340,0.0088,0,2623,0.0,0.0088,0.0028,0.0256,5.751,1.4847997020000872e-06,False,1e-05,False,,False
databricks,Databricks,Cloud Platform,338,340,0.9941,83,2623,0.0316,0.9625,0.9455,0.9699,4.963,0.0,True,0.0,True,own_product,True
databricks,Google Sheets,Analytics / BI,19,340,0.0559,5,2623,0.0019,0.054,0.034,0.0837,4.77,1.5087983808951958e-25,True,0.0,True,,False
databricks,Excel,Analytics / BI,263,340,0.7735,239,2623,0.0911,0.6824,0.6336,0.725,3.082,1.287595076462837e-218,True,0.0,True,,False
databricks,Kafka,Data Engineering,90,340,0.2647,87,2623,0.0332,0.2315,0.1868,0.2813,2.993,1.9510941016934454e-64,True,0.0,True,,False
databricks,GCP,Cloud Platform,113,340,0.3324,137,2623,0.0522,0.2801,0.2313,0.3324,2.667,1.874493882624535e-68,True,0.0,True,,False
databricks,AWS,Cloud Platform,165,340,0.4853,238,2623,0.0907,0.3946,0.3406,0.4486,2.417,1.0373634857037444e-88,True,0.0,True,,False
databricks,Scala,Programming Language,169,340,0.4971,253,2623,0.0965,0.4006,0.3465,0.4546,2.363,5.310940799467929e-88,True,0.0,True,,False
databricks,Spark,Data Engineering,246,340,0.7235,425,2623,0.162,0.5615,0.5096,0.6084,2.156,7.975000391790772e-120,True,0.0,True,origin,True
databricks,Looker,Analytics / BI,41,340,0.1206,77,2623,0.0294,0.0912,0.06,0.1306,2.043,5.765863949724615e-16,True,0.0,True,,False
databricks,Cassandra,Database,18,340,0.0529,36,2623,0.0137,0.0392,0.0193,0.0686,1.964,3.6507546082317254e-07,True,0.0,True,,False
databricks,Tableau,Analytics / BI,66,340,0.1941,177,2623,0.0675,0.1266,0.0868,0.1729,1.528,1.1736628107428132e-15,True,0.0,True,,False
databricks,Hadoop,Data Engineering,120,340,0.3529,323,2623,0.1231,0.2298,0.1792,0.2834,1.519,5.09417525509878e-29,True,0.0,True,,False
databricks,Microsoft Word,Office / Productivity,10,340,0.0294,29,2623,0.0111,0.0184,0.0042,0.0425,1.454,0.005203095534732978,True,0.01786,True,,False
databricks,Elasticsearch,Database,5,340,0.0147,15,2623,0.0057,0.009,-0.0002,0.0284,1.449,0.05687954168480085,True,0.13239,False,,False
databricks,Microsoft Access,Database,0,340,0.0,1,2623,0.0004,-0.0004,-0.0022,0.0108,1.359,0.7187782490189268,False,0.73028,False,,False
databricks,Groovy,Programming Language,0,340,0.0,1,2623,0.0004,-0.0004,-0.0022,0.0108,1.359,0.7187782490189268,False,0.73028,False,,False
databricks,CUDA,ML / AI,0,340,0.0,1,2623,0.0004,-0.0004,-0.0022,0.0108,1.359,0.7187782490189268,False,0.73028,False,,False
databricks,Flutter,Web / Frontend,0,340,0.0,1,2623,0.0004,-0.0004,-0.0022,0.0108,1.359,0.7187782490189268,False,0.73028,False,,False
databricks,Firebase,Cloud Platform,0,340,0.0,1,2623,0.0004,-0.0004,-0.0022,0.0108,1.359,0.7187782490189268,False,0.73028,False,,False
databricks,Vue.js,Web / Frontend,0,340,0.0,1,2623,0.0004,-0.0004,-0.0022,0.0108,1.359,0.7187782490189268,False,0.73028,False,,False
databricks,Dart,Programming Language,0,340,0.0,1,2623,0.0004,-0.0004,-0.0022,0.0108,1.359,0.7187782490189268,False,0.73028,False,,False
databricks,Django,Web / Frontend,0,340,0.0,1,2623,0.0004,-0.0004,-0.0022,0.0108,1.359,0.7187782490189268,False,0.73028,False,,False
databricks,Jenkins,DevOps / Infrastructure,13,340,0.0382,41,2623,0.0156,0.0226,0.0059,0.049,1.324,0.003370540566765251,True,0.01223,True,,False
databricks,Git,DevOps / Infrastructure,24,340,0.0706,81,2623,0.0309,0.0397,0.0159,0.0725,1.21,0.00019448241806436072,True,0.00095,True,,False
databricks,Azure,Cloud Platform,145,340,0.4265,501,2623,0.191,0.2355,0.1817,0.2905,1.159,4.4351816406628084e-23,True,0.0,True,,False
databricks,Generative AI,ML / AI,3,340,0.0088,14,2623,0.0053,0.0035,-0.0034,0.0204,0.893,0.42326553811650613,True,0.52157,False,,False
databricks,MySQL,Database,7,340,0.0206,31,2623,0.0118,0.0088,-0.0029,0.0303,0.874,0.17631747494894442,True,0.311,False,,False
databricks,SQL Server,Database,6,340,0.0176,30,2623,0.0114,0.0062,-0.0045,0.0268,0.714,0.325424693821767,True,0.48331,False,,False
databricks,scikit-learn,ML / AI,27,340,0.0794,136,2623,0.0518,0.0276,0.0016,0.0621,0.633,0.035969849200290165,True,0.09136,False,,False
databricks,Flask,Web / Frontend,0,340,0.0,2,2623,0.0008,-0.0008,-0.0028,0.0104,0.622,0.6105187337869309,False,0.66841,False,,False
databricks,Angular,Web / Frontend,4,340,0.0118,23,2623,0.0088,0.003,-0.0054,0.0213,0.559,0.5843645048077071,True,0.64534,False,,False
databricks,pandas,Data Science Libraries,27,340,0.0794,148,2623,0.0564,0.023,-0.0031,0.0576,0.511,0.09069315029891004,True,0.18882,False,,False
databricks,Java,Programming Language,95,340,0.2794,595,2623,0.2268,0.0526,0.0046,0.1049,0.303,0.030933457638347015,True,0.08359,False,,False
