company,skill,skill_category,postings_with_skill,n_skilled,share,rest_with_skill,rest_n_skilled,rest_share,diff,diff_ci_low,diff_ci_high,log_lift,p_value,supported,q_value,significant,vendor_relation,self_referential
google,Swift,Programming Language,3,590,0.0051,0,2373,0.0,0.0051,0.0014,0.0148,4.813,0.0005101124630275429,False,0.00231,False,,False
google,Flutter,Web / Frontend,1,590,0.0017,0,2373,0.0,0.0017,-0.0004,0.0095,3.591,0.04487338342778859,False,0.08381,False,origin,True
google,Dart,Programming Language,1,590,0.0017,0,2373,0.0,0.0017,-0.0004,0.0095,3.591,0.04487338342778859,False,0.08381,False,origin,True
google,Cognos,Analytics / BI,4,590,0.0068,1,2373,0.0004,0.0064,0.0018,0.0169,3.591,0.0007588108181815172,False,0.00301,False,,False
google,Firebase,Cloud Platform,1,590,0.0017,0,2373,0.0,0.0017,-0.0004,0.0095,3.591,0.04487338342778859,False,0.08381,False,own_product,True
google,macOS,OS / Shell,4,590,0.0068,1,2373,0.0004,0.0064,0.0018,0.0169,3.591,0.0007588108181815172,False,0.00301,False,,False
google,Microsoft Access,Database,1,590,0.0017,0,2373,0.0,0.0017,-0.0004,0.0095,3.591,0.04487338342778859,False,0.08381,False,,False
google,MXNet,ML / AI,3,590,0.0051,1,2373,0.0004,0.0047,0.0008,0.0144,3.228,0.005765975570581206,False,0.01558,False,,False
google,BigQuery,Cloud Platform,62,590,0.1051,34,2373,0.0143,0.0908,0.0678,0.1184,2.863,7.816658764103228e-29,True,0.0,True,own_product,True
google,Rust,Programming Language,4,590,0.0068,2,2373,0.0008,0.0059,0.0012,0.0165,2.854,0.004095007482037307,False,0.01182,False,,False
google,Objective-C,Programming Language,4,590,0.0068,2,2373,0.0008,0.0059,0.0012,0.0165,2.854,0.004095007482037307,False,0.01182,False,,False
google,Plotly,Data Science Libraries,5,590,0.0085,3,2373,0.0013,0.0072,0.0018,0.0185,2.658,0.0025238843916373975,False,0.00801,False,,False
google,Looker,Analytics / BI,70,590,0.1186,48,2373,0.0202,0.0984,0.0739,0.1274,2.546,7.401068451206469e-28,True,0.0,True,own_product,True
google,Assembly,Programming Language,3,590,0.0051,2,2373,0.0008,0.0042,0.0002,0.014,2.492,0.024667443825896657,False,0.05401,False,,False
google,Kotlin,Programming Language,3,590,0.0051,2,2373,0.0008,0.0042,0.0002,0.014,2.492,0.024667443825896657,False,0.05401,False,,False
google,Colocation,Facilities / Data Centre,4,590,0.0068,3,2373,0.0013,0.0055,0.0007,0.0161,2.369,0.013527947849981289,False,0.03242,False,,False
google,NoSQL,Database,47,590,0.0797,48,2373,0.0202,0.0594,0.0391,0.0846,1.976,2.2396368829855826e-13,True,0.0,True,,False
google,Shell,OS / Shell,14,590,0.0237,20,2373,0.0084,0.0153,0.0047,0.0313,1.507,0.0017910595470205933,True,0.00599,True,,False
google,MongoDB,Database,21,590,0.0356,32,2373,0.0135,0.0221,0.0087,0.0407,1.41,0.0002880177616720151,True,0.00141,True,,False
google,JavaScript,Programming Language,73,590,0.1237,112,2373,0.0472,0.0765,0.0506,0.1066,1.392,6.1616561707291866e-12,True,0.0,True,,False
google,SAP,Analytics / BI,19,590,0.0322,31,2373,0.0131,0.0191,0.0064,0.0371,1.314,0.0012372788730705085,True,0.00444,True,,False
google,Express,Web / Frontend,15,590,0.0254,25,2373,0.0105,0.0149,0.0038,0.0313,1.288,0.005040175180230173,True,0.01392,True,,False
google,MicroStrategy,Analytics / BI,4,590,0.0068,7,2373,0.0029,0.0038,-0.0014,0.0145,1.269,0.1710388942947566,False,0.24684,False,,False
google,Oracle,Database,20,590,0.0339,34,2373,0.0143,0.0196,0.0065,0.0379,1.255,0.0014710524144110264,True,0.00505,True,,False
google,Go,Programming Language,94,590,0.1593,178,2373,0.075,0.0843,0.0548,0.1175,1.089,2.1918518233972845e-10,True,0.0,True,origin,True
google,TensorFlow,ML / AI,71,590,0.1203,141,2373,0.0594,0.0609,0.035,0.091,1.021,2.7773005118715713e-07,True,0.0,True,origin,True
google,Ubuntu,OS / Shell,1,590,0.0017,3,2373,0.0013,0.0004,-0.0024,0.0083,0.784,0.7987386970674366,False,0.84533,False,,False
google,Machine Learning,ML / AI,61,590,0.1034,154,2373,0.0649,0.0385,0.014,0.0672,0.677,0.0012575717508342716,True,0.00444,True,,False
google,Linux,OS / Shell,49,590,0.0831,124,2373,0.0523,0.0308,0.0089,0.0572,0.675,0.004302950613065309,True,0.01214,True,,False
google,Unix,OS / Shell,6,590,0.0102,17,2373,0.0072,0.003,-0.004,0.0151,0.577,0.4566109511186917,True,0.55228,False,,False
google,C,Programming Language,36,590,0.061,99,2373,0.0417,0.0193,0.0005,0.0428,0.559,0.04426410612236121,True,0.08381,False,,False
