company,skill,skill_category,postings_with_skill,n_skilled,share,rest_with_skill,rest_n_skilled,rest_share,diff,diff_ci_low,diff_ci_high,log_lift,p_value,supported,q_value,significant,vendor_relation,self_referential
meta,dplyr,Data Science Libraries,43,838,0.0513,0,2125,0.0,0.0513,0.0382,0.0684,7.784,7.077117915343395e-26,True,0.0,True,,False
meta,ggplot2,Data Science Libraries,35,838,0.0418,0,2125,0.0,0.0418,0.03,0.0575,7.491,2.6164996046327624e-21,True,0.0,True,,False
meta,Seaborn,Data Science Libraries,17,838,0.0203,0,2125,0.0,0.0203,0.0125,0.0322,6.471,4.5601972768984925e-11,True,0.0,True,,False
meta,PHP,Programming Language,59,838,0.0704,3,2125,0.0014,0.069,0.0533,0.0884,5.429,3.1871943021204436e-32,True,0.0,True,,False
meta,VBA,Programming Language,7,838,0.0084,0,2125,0.0,0.0084,0.0037,0.0171,5.248,2.463354251169277e-05,False,8e-05,False,,False
meta,SPSS,Analytics / BI,32,838,0.0382,7,2125,0.0033,0.0349,0.0233,0.0502,3.457,6.125074666573892e-14,True,0.0,True,,False
meta,Computer Vision,ML / AI,6,838,0.0072,1,2125,0.0005,0.0067,0.0022,0.0151,3.457,0.0007303954939707338,False,0.00197,False,,False
meta,Generative AI,ML / AI,14,838,0.0167,3,2125,0.0014,0.0153,0.008,0.0265,3.392,6.891347453119221e-07,True,0.0,True,,False
meta,Julia,Programming Language,8,838,0.0095,2,2125,0.0009,0.0086,0.0033,0.0178,3.107,0.00027528137848930673,False,0.00079,False,,False
meta,Matplotlib,Data Science Libraries,34,838,0.0406,12,2125,0.0056,0.0349,0.0228,0.0507,2.806,4.3372560611547735e-12,True,0.0,True,,False
meta,NLP,ML / AI,3,838,0.0036,1,2125,0.0005,0.0031,-0.0001,0.01,2.564,0.037889952133442054,False,0.06777,False,,False
meta,MATLAB,Programming Language,80,838,0.0955,44,2125,0.0207,0.0748,0.0554,0.0972,2.197,5.562573048594485e-20,True,0.0,True,,False
meta,SAS,Analytics / BI,88,838,0.105,50,2125,0.0235,0.0815,0.0611,0.1048,2.151,2.5563474908429267e-21,True,0.0,True,,False
meta,GraphQL,Web / Frontend,11,838,0.0131,7,2125,0.0033,0.0098,0.0031,0.0202,1.958,0.0019219478703298742,True,0.00469,True,,False
meta,R,Programming Language,463,838,0.5525,406,2125,0.1911,0.3614,0.3235,0.3985,1.531,2.2534402200131184e-84,True,0.0,True,,False
meta,Machine Learning,ML / AI,99,838,0.1181,116,2125,0.0546,0.0636,0.0409,0.0888,1.114,1.9062310503216536e-09,True,0.0,True,,False
meta,Colocation,Facilities / Data Centre,3,838,0.0036,4,2125,0.0019,0.0017,-0.0021,0.0087,0.979,0.39131353212003706,False,0.46446,False,,False
meta,Keras,ML / AI,14,838,0.0167,19,2125,0.0089,0.0078,-0.0006,0.0194,0.914,0.06968051842359457,True,0.11959,False,,False
meta,SQL,Programming Language,718,838,0.8568,989,2125,0.4654,0.3914,0.3583,0.422,0.88,5.623808754779489e-84,True,0.0,True,,False
meta,GitLab,DevOps / Infrastructure,5,838,0.006,8,2125,0.0038,0.0022,-0.0028,0.0103,0.713,0.41408274411160617,False,0.48246,False,,False
meta,Perl,Programming Language,36,838,0.043,60,2125,0.0282,0.0147,0.0005,0.0318,0.612,0.04148267306261363,True,0.07317,False,,False
meta,Python,Programming Language,728,838,0.8687,1212,2125,0.5704,0.2984,0.2661,0.3283,0.606,2.0593109079954682e-53,True,0.0,True,,False
meta,Tableau,Analytics / BI,88,838,0.105,155,2125,0.0729,0.0321,0.0097,0.0569,0.528,0.004164509937265824,True,0.00912,True,,False
meta,Objective-C,Programming Language,2,838,0.0024,4,2125,0.0019,0.0005,-0.0029,0.0069,0.493,0.7833129766106568,False,0.78331,False,,False
