company,skill,skill_category,postings_with_skill,n_skilled,share,rest_with_skill,rest_n_skilled,rest_share,diff,diff_ci_low,diff_ci_high,log_lift,p_value,supported,q_value,significant,vendor_relation,self_referential
microsoft,SharePoint,Office / Productivity,25,504,0.0496,0,2459,0.0,0.0496,0.0337,0.0722,7.957,1.3860049924052885e-28,True,0.0,True,own_product,True
microsoft,Neo4j,Database,6,504,0.0119,0,2459,0.0,0.0119,0.0053,0.0257,5.985,6.094230370239237e-08,False,0.0,False,,False
microsoft,PowerShell,OS / Shell,17,504,0.0337,1,2459,0.0004,0.0333,0.0206,0.0529,5.829,1.7763314758930963e-18,True,0.0,True,own_product,True
microsoft,.NET,Web / Frontend,5,504,0.0099,0,2459,0.0,0.0099,0.004,0.023,5.744,7.68166575416689e-07,False,0.0,False,own_product,True
microsoft,Data Modelling,Data Engineering,4,504,0.0079,0,2459,0.0,0.0079,0.0028,0.0202,5.454,9.839887042021406e-06,False,5e-05,False,,False
microsoft,Hugging Face,ML / AI,4,504,0.0079,0,2459,0.0,0.0079,0.0028,0.0202,5.454,9.839887042021406e-06,False,5e-05,False,,False
microsoft,ETL,Data Engineering,4,504,0.0079,0,2459,0.0,0.0079,0.0028,0.0202,5.454,9.839887042021406e-06,False,5e-05,False,,False
microsoft,Ruby on Rails,Web / Frontend,3,504,0.006,0,2459,0.0,0.006,0.0017,0.0174,5.092,0.00012931524593451087,False,0.00053,False,,False
microsoft,Power BI,Analytics / BI,86,504,0.1706,16,2459,0.0065,0.1641,0.1335,0.1995,4.675,1.0662169535585822e-75,True,0.0,True,own_product,True
microsoft,PowerPoint,Office / Productivity,10,504,0.0198,2,2459,0.0008,0.019,0.0097,0.0353,4.355,8.932299816772752e-10,True,0.0,True,own_product,True
microsoft,Qlik,Analytics / BI,5,504,0.0099,1,2459,0.0004,0.0095,0.0035,0.0226,4.159,1.5024233144748003e-05,False,7e-05,False,,False
microsoft,Vue.js,Web / Frontend,1,504,0.002,0,2459,0.0,0.002,-0.0003,0.0112,3.869,0.027159933543127995,False,0.05917,False,,False
microsoft,SQL Server,Database,26,504,0.0516,10,2459,0.0041,0.0475,0.031,0.0705,3.62,7.239687321617935e-19,True,0.0,True,own_product,True
microsoft,C#,Programming Language,183,504,0.3631,110,2459,0.0447,0.3184,0.2766,0.3619,3.016,1.792630062288246e-105,True,0.0,True,origin,True
microsoft,Redis,Database,13,504,0.0258,8,2459,0.0033,0.0225,0.0114,0.0404,2.952,3.901144332884909e-08,True,0.0,True,,False
microsoft,Microsoft Outlook,Office / Productivity,20,504,0.0397,14,2459,0.0057,0.034,0.0196,0.0549,2.784,6.717991001314219e-11,True,0.0,True,own_product,True
microsoft,PostgreSQL,Database,16,504,0.0317,13,2459,0.0053,0.0265,0.0138,0.0458,2.574,3.867390915062336e-08,True,0.0,True,,False
