company,skill,skill_category,postings_with_skill,n_skilled,share,rest_with_skill,rest_n_skilled,rest_share,diff,diff_ci_low,diff_ci_high,log_lift,p_value,supported,q_value,significant,vendor_relation,self_referential
nvidia,Deep Learning,ML / AI,8,232,0.0345,0,2731,0.0,0.0345,0.0175,0.0666,7.639,2.5425298405627014e-22,False,0.0,False,,False
nvidia,LLM,ML / AI,5,232,0.0216,0,2731,0.0,0.0216,0.0092,0.0495,7.011,1.611352258683756e-14,False,0.0,False,,False
nvidia,Alteryx,Analytics / BI,7,232,0.0302,1,2731,0.0004,0.0298,0.0142,0.0606,5.873,4.4832450936086406e-17,False,0.0,False,,False
nvidia,Flask,Web / Frontend,2,232,0.0086,0,2731,0.0,0.0086,0.0022,0.0309,5.873,1.2114111007360157e-06,False,1e-05,False,,False
nvidia,Groovy,Programming Language,1,232,0.0043,0,2731,0.0,0.0043,0.0005,0.024,5.137,0.0006001455466418766,False,0.00212,False,,False
nvidia,Django,Web / Frontend,1,232,0.0043,0,2731,0.0,0.0043,0.0005,0.024,5.137,0.0006001455466418766,False,0.00212,False,,False
nvidia,CUDA,ML / AI,1,232,0.0043,0,2731,0.0,0.0043,0.0005,0.024,5.137,0.0006001455466418766,False,0.00212,False,own_product,True
nvidia,Ubuntu,OS / Shell,3,232,0.0129,1,2731,0.0004,0.0126,0.0039,0.037,4.774,5.612311847540258e-07,False,0.0,False,,False
nvidia,Splunk,DevOps / Infrastructure,12,232,0.0517,5,2731,0.0018,0.0499,0.0279,0.0864,4.736,4.463484376956611e-22,True,0.0,True,,False
nvidia,OpenStack,Cloud Platform,8,232,0.0345,5,2731,0.0018,0.0327,0.0156,0.0647,4.18,5.036257911418901e-13,False,0.0,False,,False
nvidia,GitLab,DevOps / Infrastructure,8,232,0.0345,5,2731,0.0018,0.0327,0.0156,0.0647,4.18,5.036257911418901e-13,False,0.0,False,,False
nvidia,Puppet,DevOps / Infrastructure,9,232,0.0388,6,2731,0.0022,0.0366,0.0182,0.0699,4.099,4.6842033222150235e-14,False,0.0,False,,False
nvidia,GDPR,Governance / Compliance,3,232,0.0129,2,2731,0.0007,0.0122,0.0035,0.0366,4.037,1.3857632225201544e-05,False,6e-05,False,,False
nvidia,Bash,OS / Shell,20,232,0.0862,17,2731,0.0062,0.08,0.05,0.1232,3.78,6.128500018043565e-26,True,0.0,True,,False
nvidia,Chef,DevOps / Infrastructure,8,232,0.0345,7,2731,0.0026,0.0319,0.0148,0.064,3.732,4.804831893113622e-11,False,0.0,False,,False
nvidia,Ansible,DevOps / Infrastructure,11,232,0.0474,10,2731,0.0037,0.0438,0.0228,0.0793,3.683,2.4076601627137276e-14,True,0.0,True,,False
nvidia,Assembly,Programming Language,2,232,0.0086,3,2731,0.0011,0.0075,0.0009,0.0298,3.066,0.007362739893796219,False,0.02125,False,,False
nvidia,Linux,OS / Shell,66,232,0.2845,107,2731,0.0392,0.2453,0.1905,0.3069,2.859,7.826146083269132e-53,True,0.0,True,,False
nvidia,Kubernetes,DevOps / Infrastructure,65,232,0.2802,117,2731,0.0428,0.2373,0.1829,0.2987,2.708,2.364451210503385e-47,True,0.0,True,,False
nvidia,Jupyter,Data Science Libraries,5,232,0.0216,10,2731,0.0037,0.0179,0.0052,0.0458,2.619,0.0002276711691903882,True,0.00096,True,,False
nvidia,GitHub,DevOps / Infrastructure,13,232,0.056,27,2731,0.0099,0.0461,0.0227,0.0837,2.525,4.986580124249664e-09,True,0.0,True,,False
nvidia,Docker,DevOps / Infrastructure,43,232,0.1853,95,2731,0.0348,0.1506,0.1052,0.2059,2.417,1.498163856526264e-25,True,0.0,True,,False
nvidia,MXNet,ML / AI,1,232,0.0043,3,2731,0.0011,0.0032,-0.0009,0.0229,2.329,0.2008427424219665,False,0.34941,False,,False
nvidia,NLP,ML / AI,1,232,0.0043,3,2731,0.0011,0.0032,-0.0009,0.0229,2.329,0.2008427424219665,False,0.34941,False,,False
nvidia,Ruby,Programming Language,6,232,0.0259,16,2731,0.0059,0.02,0.0056,0.0495,2.208,0.0006559867402048234,True,0.00225,True,,False
nvidia,Confluence,Office / Productivity,2,232,0.0086,6,2731,0.0022,0.0064,-0.0003,0.0287,2.173,0.07026148505885038,False,0.14392,False,,False
nvidia,PyTorch,ML / AI,49,232,0.2112,130,2731,0.0476,0.1636,0.1152,0.2211,2.153,9.994555747630612e-24,True,0.0,True,,False
nvidia,SAP,Analytics / BI,13,232,0.056,37,2731,0.0135,0.0425,0.0189,0.0801,2.078,1.4104207811080204e-06,True,1e-05,True,,False
nvidia,Dart,Programming Language,0,232,0.0,1,2731,0.0004,-0.0004,-0.0021,0.0159,1.967,0.7706597655096388,False,0.80887,False,,False
nvidia,Microsoft Access,Database,0,232,0.0,1,2731,0.0004,-0.0004,-0.0021,0.0159,1.967,0.7706597655096388,False,0.80887,False,,False
nvidia,Firebase,Cloud Platform,0,232,0.0,1,2731,0.0004,-0.0004,-0.0021,0.0159,1.967,0.7706597655096388,False,0.80887,False,,False
nvidia,Vue.js,Web / Frontend,0,232,0.0,1,2731,0.0004,-0.0004,-0.0021,0.0159,1.967,0.7706597655096388,False,0.80887,False,,False
nvidia,Flutter,Web / Frontend,0,232,0.0,1,2731,0.0004,-0.0004,-0.0021,0.0159,1.967,0.7706597655096388,False,0.80887,False,,False
nvidia,Git,DevOps / Infrastructure,25,232,0.1078,80,2731,0.0293,0.0785,0.044,0.1253,1.893,5.42963949117323e-10,True,0.0,True,,False
nvidia,Matplotlib,Data Science Libraries,10,232,0.0431,36,2731,0.0132,0.0299,0.0098,0.0645,1.754,0.00040132596662875145,True,0.00164,True,,False
nvidia,Terraform,DevOps / Infrastructure,9,232,0.0388,33,2731,0.0121,0.0267,0.0078,0.0602,1.733,0.0009529546387461226,True,0.0031,True,,False
nvidia,Jira,Office / Productivity,5,232,0.0216,20,2731,0.0073,0.0142,0.0013,0.0422,1.653,0.022921830195598392,True,0.05391,False,,False
nvidia,Jenkins,DevOps / Infrastructure,11,232,0.0474,43,2731,0.0157,0.0317,0.0102,0.0674,1.632,0.0005361081845225396,True,0.00206,True,,False
nvidia,TensorFlow,ML / AI,40,232,0.1724,172,2731,0.063,0.1094,0.0652,0.1639,1.461,5.339620417740101e-10,True,0.0,True,,False
nvidia,DynamoDB,Database,1,232,0.0043,6,2731,0.0022,0.0021,-0.0023,0.0218,1.436,0.5244105508070662,False,0.6466,False,,False
nvidia,PostgreSQL,Database,5,232,0.0216,24,2731,0.0088,0.0128,-0.0003,0.0408,1.396,0.057970990668883574,True,0.12694,False,,False
nvidia,Kafka,Data Engineering,31,232,0.1336,146,2731,0.0535,0.0802,0.0412,0.1306,1.334,7.575686473182296e-07,True,0.0,True,,False
