company,skill,skill_category,postings_with_skill,n_skilled,share,rest_with_skill,rest_n_skilled,rest_share,diff,diff_ci_low,diff_ci_high,log_lift,p_value,supported,q_value,significant,vendor_relation,self_referential
snowflake,Snowflake,Cloud Platform,456,459,0.9935,37,2504,0.0148,0.9787,0.965,0.9846,6.051,0.0,True,0.0,True,own_product,True
snowflake,DynamoDB,Database,6,459,0.0131,1,2504,0.0004,0.0127,0.0054,0.0278,4.561,2.7321168324633143e-07,False,0.0,False,,False
snowflake,VMware,Cloud Platform,25,459,0.0545,6,2504,0.0024,0.0521,0.0345,0.0768,4.417,6.846456198570688e-24,True,0.0,True,,False
snowflake,Node.js,Web / Frontend,19,459,0.0414,5,2504,0.002,0.0394,0.0244,0.0618,4.271,4.855720078494047e-18,True,0.0,True,,False
snowflake,TypeScript,Programming Language,48,459,0.1046,25,2504,0.01,0.0946,0.0694,0.1261,3.373,2.8607081679116938e-33,True,0.0,True,,False
snowflake,Confluence,Office / Productivity,5,459,0.0109,3,2504,0.0012,0.0097,0.003,0.0241,3.097,0.00023344409184886372,False,0.00087,False,,False
snowflake,Airflow,Data Engineering,58,459,0.1264,37,2504,0.0148,0.1116,0.0837,0.1454,3.087,1.0204497766227233e-35,True,0.0,True,,False
snowflake,Jira,Office / Productivity,13,459,0.0283,12,2504,0.0048,0.0235,0.0113,0.0432,2.556,4.0496595379816136e-07,True,0.0,True,,False
snowflake,Redshift,Cloud Platform,23,459,0.0501,25,2504,0.01,0.0401,0.023,0.0643,2.327,3.8536419895212403e-10,True,0.0,True,,False
snowflake,Windows,OS / Shell,57,459,0.1242,80,2504,0.0319,0.0922,0.0641,0.1261,1.96,5.133348318061819e-18,True,0.0,True,,False
snowflake,Terraform,DevOps / Infrastructure,17,459,0.037,25,2504,0.01,0.0271,0.0125,0.0488,1.902,6.566400249646941e-06,True,3e-05,True,,False
snowflake,React,Web / Frontend,31,459,0.0675,51,2504,0.0204,0.0472,0.0266,0.0743,1.736,1.4833508743284961e-08,True,0.0,True,,False
snowflake,MicroStrategy,Analytics / BI,4,459,0.0087,7,2504,0.0028,0.0059,-0.0002,0.0195,1.708,0.05525691033844611,False,0.11504,False,,False
snowflake,Docker,DevOps / Infrastructure,50,459,0.1089,88,2504,0.0351,0.0738,0.0472,0.1063,1.636,5.32896452173393e-12,True,0.0,True,,False
snowflake,NumPy,Data Science Libraries,27,459,0.0588,51,2504,0.0204,0.0385,0.0193,0.0643,1.54,2.236371747456508e-06,True,1e-05,True,,False
snowflake,AWS,Cloud Platform,139,459,0.3028,264,2504,0.1054,0.1974,0.1552,0.2424,1.522,8.184046728629256e-30,True,0.0,True,,False
snowflake,Jenkins,DevOps / Infrastructure,18,459,0.0392,36,2504,0.0144,0.0248,0.0096,0.0471,1.465,0.0002549807574195849,True,0.00093,True,,False
snowflake,OpenStack,Cloud Platform,4,459,0.0087,9,2504,0.0036,0.0051,-0.0011,0.0187,1.367,0.12705224735645393,False,0.23385,False,,False
snowflake,GCP,Cloud Platform,79,459,0.1721,171,2504,0.0683,0.1038,0.0703,0.1422,1.336,1.8843835604860026e-13,True,0.0,True,,False
snowflake,Excel,Analytics / BI,158,459,0.3442,344,2504,0.1374,0.2068,0.1626,0.2533,1.325,1.7875991344448673e-27,True,0.0,True,,False
snowflake,Java,Programming Language,212,459,0.4619,478,2504,0.1909,0.271,0.2232,0.3191,1.274,1.4984919927298218e-36,True,0.0,True,,False
snowflake,pandas,Data Science Libraries,53,459,0.1155,122,2504,0.0487,0.0667,0.0391,0.1001,1.25,2.455900534823132e-08,True,0.0,True,,False
snowflake,scikit-learn,ML / AI,48,459,0.1046,115,2504,0.0459,0.0586,0.0323,0.0909,1.193,4.0603017066929724e-07,True,0.0,True,,False
snowflake,Redis,Database,6,459,0.0131,15,2504,0.006,0.0071,-0.001,0.0224,1.191,0.09639666324344266,True,0.18272,False,,False
snowflake,Go,Programming Language,77,459,0.1678,195,2504,0.0779,0.0899,0.0566,0.1281,1.11,8.74630631826541e-10,True,0.0,True,,False
snowflake,PostgreSQL,Database,8,459,0.0174,21,2504,0.0084,0.009,-0.0006,0.0259,1.106,0.0704408909652309,True,0.142,False,,False
snowflake,Cassandra,Database,15,459,0.0327,39,2504,0.0156,0.0171,0.0031,0.0381,1.096,0.01178693768019477,True,0.03119,True,,False
snowflake,Chef,DevOps / Infrastructure,4,459,0.0087,11,2504,0.0044,0.0043,-0.002,0.0179,1.091,0.23041209020944492,True,0.37041,False,,False
snowflake,Kubernetes,DevOps / Infrastructure,49,459,0.1068,133,2504,0.0531,0.0536,0.0268,0.0863,1.014,1.0835457039673028e-05,True,5e-05,True,,False
snowflake,Dart,Programming Language,0,459,0.0,1,2504,0.0004,-0.0004,-0.0023,0.0079,0.86,0.6684941636939816,False,0.71343,False,,False
