company,skill,skill_category,postings_with_skill,n_skilled,share_of_skilled,ci_low,ci_high,supported
databricks,AWS,Cloud Platform,165,340,0.4853,0.4326,0.5383,True
databricks,Angular,Web / Frontend,4,340,0.0118,0.0046,0.0299,False
databricks,Azure,Cloud Platform,145,340,0.4265,0.375,0.4796,True
databricks,C,Programming Language,1,340,0.0029,0.0005,0.0165,False
databricks,C#,Programming Language,4,340,0.0118,0.0046,0.0299,False
databricks,C++,Programming Language,35,340,0.1029,0.075,0.1398,True
databricks,CSS,Web / Frontend,4,340,0.0118,0.0046,0.0299,False
databricks,Cassandra,Database,18,340,0.0529,0.0337,0.0821,True
databricks,Databricks,Cloud Platform,338,340,0.9941,0.9788,0.9984,True
databricks,Docker,DevOps / Infrastructure,9,340,0.0265,0.014,0.0495,False
databricks,Elasticsearch,Database,5,340,0.0147,0.0063,0.034,False
databricks,Excel,Analytics / BI,263,340,0.7735,0.7261,0.8148,True
databricks,GCP,Cloud Platform,113,340,0.3324,0.2844,0.3841,True
databricks,Generative AI,ML / AI,3,340,0.0088,0.003,0.0256,False
databricks,Git,DevOps / Infrastructure,24,340,0.0706,0.0479,0.1029,True
databricks,GitHub,DevOps / Infrastructure,3,340,0.0088,0.003,0.0256,False
databricks,Go,Programming Language,28,340,0.0824,0.0576,0.1164,True
databricks,Google Sheets,Analytics / BI,19,340,0.0559,0.0361,0.0856,True
databricks,HTML,Web / Frontend,4,340,0.0118,0.0046,0.0299,False
databricks,Hadoop,Data Engineering,120,340,0.3529,0.304,0.4051,True
databricks,Java,Programming Language,95,340,0.2794,0.2344,0.3294,True
databricks,JavaScript,Programming Language,4,340,0.0118,0.0046,0.0299,False
databricks,Jenkins,DevOps / Infrastructure,13,340,0.0382,0.0225,0.0643,True
databricks,Jira,Office / Productivity,1,340,0.0029,0.0005,0.0165,False
databricks,Kafka,Data Engineering,90,340,0.2647,0.2206,0.314,True
databricks,Kubernetes,DevOps / Infrastructure,17,340,0.05,0.0314,0.0786,True
databricks,Linux,OS / Shell,7,340,0.0206,0.01,0.0419,False
databricks,Looker,Analytics / BI,41,340,0.1206,0.0901,0.1595,True
databricks,Machine Learning,ML / AI,19,340,0.0559,0.0361,0.0856,True
databricks,Microsoft Word,Office / Productivity,10,340,0.0294,0.0161,0.0533,True
databricks,MySQL,Database,7,340,0.0206,0.01,0.0419,False
databricks,NLTK,ML / AI,3,340,0.0088,0.003,0.0256,False
databricks,NoSQL,Database,8,340,0.0235,0.012,0.0457,False
databricks,Oracle,Database,6,340,0.0176,0.0081,0.038,False
databricks,PyTorch,ML / AI,7,340,0.0206,0.01,0.0419,False
databricks,Python,Programming Language,201,340,0.5912,0.5382,0.6421,True
databricks,R,Programming Language,51,340,0.15,0.116,0.1919,True
databricks,React,Web / Frontend,4,340,0.0118,0.0046,0.0299,False
databricks,SQL,Programming Language,184,340,0.5412,0.488,0.5934,True
databricks,SQL Server,Database,6,340,0.0176,0.0081,0.038,False
databricks,Scala,Programming Language,169,340,0.4971,0.4442,0.5499,True
databricks,Shell,OS / Shell,2,340,0.0059,0.0016,0.0212,False
databricks,Spark,Data Engineering,246,340,0.7235,0.6737,0.7684,True
databricks,Spring,Web / Frontend,8,340,0.0235,0.012,0.0457,False
databricks,Tableau,Analytics / BI,66,340,0.1941,0.1556,0.2395,True
databricks,TensorFlow,ML / AI,7,340,0.0206,0.01,0.0419,False
databricks,Terraform,DevOps / Infrastructure,4,340,0.0118,0.0046,0.0299,False
databricks,pandas,Data Science Libraries,27,340,0.0794,0.0551,0.1131,True
databricks,scikit-learn,ML / AI,27,340,0.0794,0.0551,0.1131,True
google,AWS,Cloud Platform,5,590,0.0085,0.0036,0.0197,False
google,Airflow,Data Engineering,11,590,0.0186,0.0104,0.0331,True
google,Angular,Web / Frontend,3,590,0.0051,0.0017,0.0148,False
google,Ansible,DevOps / Infrastructure,5,590,0.0085,0.0036,0.0197,False
google,Assembly,Programming Language,3,590,0.0051,0.0017,0.0148,False
google,Azure,Cloud Platform,5,590,0.0085,0.0036,0.0197,False
google,Bash,OS / Shell,4,590,0.0068,0.0026,0.0173,False
google,BigQuery,Cloud Platform,62,590,0.1051,0.0828,0.1324,True
google,C,Programming Language,36,590,0.061,0.0444,0.0833,True
google,C#,Programming Language,14,590,0.0237,0.0142,0.0394,True
google,C++,Programming Language,102,590,0.1729,0.1445,0.2055,True
google,CSS,Web / Frontend,7,590,0.0119,0.0058,0.0243,False
google,Cassandra,Database,2,590,0.0034,0.0009,0.0123,False
google,Chef,DevOps / Infrastructure,3,590,0.0051,0.0017,0.0148,False
google,Cognos,Analytics / BI,4,590,0.0068,0.0026,0.0173,False
google,Colocation,Facilities / Data Centre,4,590,0.0068,0.0026,0.0173,False
google,Computer Vision,ML / AI,1,590,0.0017,0.0003,0.0095,False
google,Dart,Programming Language,1,590,0.0017,0.0003,0.0095,False
google,Docker,DevOps / Infrastructure,9,590,0.0153,0.008,0.0287,False
google,Elasticsearch,Database,1,590,0.0017,0.0003,0.0095,False
google,Excel,Analytics / BI,8,590,0.0136,0.0069,0.0265,False
google,Express,Web / Frontend,15,590,0.0254,0.0155,0.0415,True
google,Firebase,Cloud Platform,1,590,0.0017,0.0003,0.0095,False
google,Flutter,Web / Frontend,1,590,0.0017,0.0003,0.0095,False
google,GCP,Cloud Platform,24,590,0.0407,0.0275,0.0598,True
google,GDPR,Governance / Compliance,1,590,0.0017,0.0003,0.0095,False
google,GitHub,DevOps / Infrastructure,4,590,0.0068,0.0026,0.0173,False
google,Go,Programming Language,94,590,0.1593,0.132,0.191,True
google,Google Sheets,Analytics / BI,5,590,0.0085,0.0036,0.0197,False
google,HTML,Web / Frontend,9,590,0.0153,0.008,0.0287,False
google,Hadoop,Data Engineering,58,590,0.0983,0.0768,0.125,True
google,Java,Programming Language,132,590,0.2237,0.1919,0.2591,True
google,JavaScript,Programming Language,73,590,0.1237,0.0996,0.1528,True
google,Jenkins,DevOps / Infrastructure,6,590,0.0102,0.0047,0.022,False
google,Jupyter,Data Science Libraries,3,590,0.0051,0.0017,0.0148,False
google,Kafka,Data Engineering,4,590,0.0068,0.0026,0.0173,False
google,Keras,ML / AI,5,590,0.0085,0.0036,0.0197,False
google,Kotlin,Programming Language,3,590,0.0051,0.0017,0.0148,False
google,Kubernetes,DevOps / Infrastructure,12,590,0.0203,0.0117,0.0352,True
google,Linux,OS / Shell,49,590,0.0831,0.0634,0.1081,True
google,Looker,Analytics / BI,70,590,0.1186,0.095,0.1472,True
google,MATLAB,Programming Language,30,590,0.0508,0.0358,0.0717,True
google,MXNet,ML / AI,3,590,0.0051,0.0017,0.0148,False
google,Machine Learning,ML / AI,61,590,0.1034,0.0813,0.1306,True
google,MicroStrategy,Analytics / BI,4,590,0.0068,0.0026,0.0173,False
google,Microsoft Access,Database,1,590,0.0017,0.0003,0.0095,False
google,Microsoft Outlook,Office / Productivity,3,590,0.0051,0.0017,0.0148,False
google,Microsoft Word,Office / Productivity,3,590,0.0051,0.0017,0.0148,False
google,MongoDB,Database,21,590,0.0356,0.0234,0.0538,True
google,MySQL,Database,5,590,0.0085,0.0036,0.0197,False
google,NoSQL,Database,47,590,0.0797,0.0604,0.1043,True
google,NumPy,Data Science Libraries,6,590,0.0102,0.0047,0.022,False
google,Objective-C,Programming Language,4,590,0.0068,0.0026,0.0173,False
google,OpenStack,Cloud Platform,1,590,0.0017,0.0003,0.0095,False
google,Oracle,Database,20,590,0.0339,0.022,0.0518,True
google,PHP,Programming Language,1,590,0.0017,0.0003,0.0095,False
google,Perl,Programming Language,17,590,0.0288,0.0181,0.0457,True
google,Plotly,Data Science Libraries,5,590,0.0085,0.0036,0.0197,False
google,Power BI,Analytics / BI,7,590,0.0119,0.0058,0.0243,False
google,Puppet,DevOps / Infrastructure,3,590,0.0051,0.0017,0.0148,False
google,PyTorch,ML / AI,18,590,0.0305,0.0194,0.0477,True
google,Python,Programming Language,372,590,0.6305,0.5908,0.6685,True
google,Qlik,Analytics / BI,1,590,0.0017,0.0003,0.0095,False
google,R,Programming Language,214,590,0.3627,0.3249,0.4023,True
google,React,Web / Frontend,7,590,0.0119,0.0058,0.0243,False
google,Redis,Database,1,590,0.0017,0.0003,0.0095,False
google,Redshift,Cloud Platform,3,590,0.0051,0.0017,0.0148,False
google,Ruby,Programming Language,1,590,0.0017,0.0003,0.0095,False
google,Rust,Programming Language,4,590,0.0068,0.0026,0.0173,False
google,SAP,Analytics / BI,19,590,0.0322,0.0207,0.0497,True
google,SAS,Analytics / BI,34,590,0.0576,0.0415,0.0794,True
google,SPSS,Analytics / BI,7,590,0.0119,0.0058,0.0243,False
google,SQL,Programming Language,255,590,0.4322,0.3928,0.4725,True
google,SQL Server,Database,3,590,0.0051,0.0017,0.0148,False
google,Scala,Programming Language,53,590,0.0898,0.0693,0.1156,True
google,Shell,OS / Shell,14,590,0.0237,0.0142,0.0394,True
google,Snowflake,Cloud Platform,15,590,0.0254,0.0155,0.0415,True
google,Spark,Data Engineering,36,590,0.061,0.0444,0.0833,True
google,Splunk,DevOps / Infrastructure,3,590,0.0051,0.0017,0.0148,False
google,Swift,Programming Language,3,590,0.0051,0.0017,0.0148,False
google,Tableau,Analytics / BI,30,590,0.0508,0.0358,0.0717,True
google,TensorFlow,ML / AI,71,590,0.1203,0.0965,0.1491,True
google,Terraform,DevOps / Infrastructure,7,590,0.0119,0.0058,0.0243,False
google,TypeScript,Programming Language,9,590,0.0153,0.008,0.0287,False
google,Ubuntu,OS / Shell,1,590,0.0017,0.0003,0.0095,False
google,Unix,OS / Shell,6,590,0.0102,0.0047,0.022,False
google,VMware,Cloud Platform,1,590,0.0017,0.0003,0.0095,False
google,Windows,OS / Shell,5,590,0.0085,0.0036,0.0197,False
google,macOS,OS / Shell,4,590,0.0068,0.0026,0.0173,False
google,pandas,Data Science Libraries,17,590,0.0288,0.0181,0.0457,True
google,scikit-learn,ML / AI,6,590,0.0102,0.0047,0.022,False
meta,AWS,Cloud Platform,16,838,0.0191,0.0118,0.0308,True
meta,Airflow,Data Engineering,10,838,0.0119,0.0065,0.0218,True
meta,Alteryx,Analytics / BI,1,838,0.0012,0.0002,0.0067,False
meta,Azure,Cloud Platform,24,838,0.0286,0.0193,0.0423,True
meta,Bash,OS / Shell,4,838,0.0048,0.0019,0.0122,False
meta,BigQuery,Cloud Platform,11,838,0.0131,0.0073,0.0234,True
meta,C,Programming Language,15,838,0.0179,0.0109,0.0293,True
meta,C#,Programming Language,91,838,0.1086,0.0893,0.1315,True
meta,C++,Programming Language,138,838,0.1647,0.1411,0.1913,True
meta,CSS,Web / Frontend,12,838,0.0143,0.0082,0.0249,True
meta,Cognos,Analytics / BI,1,838,0.0012,0.0002,0.0067,False
meta,Colocation,Facilities / Data Centre,3,838,0.0036,0.0012,0.0105,False
meta,Computer Vision,ML / AI,6,838,0.0072,0.0033,0.0155,False
meta,Databricks,Cloud Platform,7,838,0.0084,0.0041,0.0171,False
meta,Docker,DevOps / Infrastructure,1,838,0.0012,0.0002,0.0067,False
meta,Elasticsearch,Database,7,838,0.0084,0.0041,0.0171,False
meta,Excel,Analytics / BI,25,838,0.0298,0.0203,0.0437,True
meta,Express,Web / Frontend,8,838,0.0095,0.0048,0.0187,False
meta,GCP,Cloud Platform,1,838,0.0012,0.0002,0.0067,False
meta,Generative AI,ML / AI,14,838,0.0167,0.01,0.0278,True
meta,Git,DevOps / Infrastructure,28,838,0.0334,0.0232,0.0479,True
meta,GitHub,DevOps / Infrastructure,5,838,0.006,0.0026,0.0139,False
meta,GitLab,DevOps / Infrastructure,5,838,0.006,0.0026,0.0139,False
meta,Go,Programming Language,19,838,0.0227,0.0146,0.0351,True
meta,GraphQL,Web / Frontend,11,838,0.0131,0.0073,0.0234,True
meta,HTML,Web / Frontend,13,838,0.0155,0.0091,0.0264,True
meta,Hadoop,Data Engineering,122,838,0.1456,0.1233,0.1711,True
meta,Java,Programming Language,72,838,0.0859,0.0688,0.1068,True
meta,JavaScript,Programming Language,17,838,0.0203,0.0127,0.0322,True
meta,Jenkins,DevOps / Infrastructure,3,838,0.0036,0.0012,0.0105,False
