company,skill,crude_share_of_skilled,standardised_share,mix_effect,weight_covered,strata_used
databricks,Python,0.5912,0.6235,-0.0323,0.976,5
databricks,SQL,0.5412,0.6345,-0.0933,0.976,5
databricks,R,0.15,0.2569,-0.1069,0.976,5
databricks,Java,0.2794,0.1763,0.1031,0.976,5
databricks,Spark,0.7235,0.708,0.0155,0.976,5
databricks,Azure,0.4265,0.3538,0.0727,0.976,5
databricks,C++,0.1029,0.0651,0.0379,0.976,5
databricks,Snowflake,0.0,0.0,0.0,0.976,5
databricks,Excel,0.7735,0.8008,-0.0273,0.976,5
databricks,Hadoop,0.3529,0.2233,0.1297,0.976,5
databricks,Scala,0.4971,0.4419,0.0551,0.976,5
databricks,Databricks,0.9941,0.9937,0.0004,0.976,5
databricks,AWS,0.4853,0.4533,0.032,0.976,5
databricks,C#,0.0118,0.0074,0.0043,0.976,5
databricks,Go,0.0824,0.05,0.0323,0.976,5
databricks,GCP,0.3324,0.2943,0.0381,0.976,5
databricks,Tableau,0.1941,0.223,-0.0289,0.976,5
databricks,Machine Learning,0.0559,0.0665,-0.0106,0.976,5
databricks,TensorFlow,0.0206,0.013,0.0076,0.976,5
databricks,Kubernetes,0.05,0.0316,0.0184,0.976,5
databricks,JavaScript,0.0118,0.0074,0.0043,0.976,5
databricks,pandas,0.0794,0.1124,-0.033,0.976,5
databricks,Kafka,0.2647,0.1674,0.0973,0.976,5
databricks,PyTorch,0.0206,0.013,0.0076,0.976,5
databricks,Linux,0.0206,0.013,0.0076,0.976,5
google,Python,0.6305,0.6585,-0.028,0.9936,6
google,SQL,0.4322,0.393,0.0392,0.9936,6
google,R,0.3627,0.3157,0.0471,0.9936,6
google,Java,0.2237,0.2625,-0.0387,0.9936,6
google,Spark,0.061,0.0785,-0.0174,0.9936,6
google,Azure,0.0085,0.0124,-0.0039,0.9936,6
google,C++,0.1729,0.1879,-0.015,0.9936,6
google,Snowflake,0.0254,0.0179,0.0075,0.9936,6
google,Excel,0.0136,0.0137,-0.0002,0.9936,6
google,Hadoop,0.0983,0.1278,-0.0295,0.9936,6
google,Scala,0.0898,0.0808,0.009,0.9936,6
google,Databricks,0.0,0.0,0.0,0.9936,6
google,AWS,0.0085,0.0124,-0.0039,0.9936,6
google,C#,0.0237,0.0301,-0.0064,0.9936,6
google,Go,0.1593,0.1736,-0.0143,0.9936,6
google,GCP,0.0407,0.0438,-0.0031,0.9936,6
google,Tableau,0.0508,0.0448,0.006,0.9936,6
google,Machine Learning,0.1034,0.1181,-0.0147,0.9936,6
google,TensorFlow,0.1203,0.1493,-0.029,0.9936,6
google,Kubernetes,0.0203,0.0253,-0.005,0.9936,6
google,JavaScript,0.1237,0.1223,0.0014,0.9936,6
google,pandas,0.0288,0.0254,0.0034,0.9936,6
google,Kafka,0.0068,0.0048,0.002,0.9936,6
google,PyTorch,0.0305,0.0399,-0.0094,0.9936,6
google,Linux,0.0831,0.0571,0.0259,0.9936,6
meta,Python,0.8687,0.7959,0.0728,0.9315,5
meta,SQL,0.8568,0.7271,0.1297,0.9315,5
