model,benchmark,horizon,n_pairs,dm_stat,p_value,rmse,benchmark_rmse,beats_benchmark
ses,naive,1,36,-1.2358862405087014,0.21650085226204396,0.500884621879673,0.5344449222709475,False
holt_damped,naive,1,36,0.4446222443438736,0.6565927694011586,0.5482190125806473,0.5344449222709475,False
ar1,naive,1,36,0.7045264432785644,0.4811049882857015,0.5693746523354809,0.5344449222709475,False
drift,naive,1,36,1.3494474422244296,0.17719329109855098,0.5798365309154593,0.5344449222709475,False
loglinear,naive,1,36,0.6581466678334367,0.5104438907715614,0.5832121396327357,0.5344449222709475,False
mean,naive,1,36,0.9612583378776294,0.33642229025342174,0.6166024369284633,0.5344449222709475,False
ses,naive,2,30,0.14228964377676304,0.8868512263641676,0.5525959986141478,0.5483874731122856,False
ar1,naive,2,30,0.8944915813255561,0.3710589321204135,0.622004199476337,0.5483874731122856,False
drift,naive,2,30,1.290367437273052,0.19692311246021535,0.6539616448226939,0.5483874731122856,False
holt_damped,naive,2,30,1.1166480682233322,0.26414483044721554,0.6571737856418376,0.5483874731122856,False
mean,naive,2,30,1.2117877863443312,0.22559362478452244,0.6887059963768386,0.5483874731122856,False
loglinear,naive,2,30,1.6737444669587291,0.09418083054746204,0.7123052940734439,0.5483874731122856,False
ses,naive,3,24,-0.5545745984739032,0.5791856675427918,0.7227622318591602,0.7421173855743458,False
mean,naive,3,24,0.15352483872120792,0.8779844040262765,0.7665810345624529,0.7421173855743458,False
ar1,naive,3,24,0.3544938967422424,0.7229687771585525,0.7839366810662146,0.7421173855743458,False
loglinear,naive,3,24,1.7857017172427598,0.07414756718558711,0.8817181201765919,0.7421173855743458,False
holt_damped,naive,3,24,1.0850860202984052,0.277883558373047,0.9082089285100735,0.7421173855743458,False
drift,naive,3,24,1.372471193823293,0.16991680040730286,0.95278218461461,0.7421173855743458,False
