key,period,numerator,denominator,share,is_observed
databricks,2023-01,10,158,0.06329113924050633,True
databricks,2023-02,3,97,0.030927835051546393,False
databricks,2023-03,9,79,0.11392405063291139,True
databricks,2023-04,4,70,0.05714285714285714,True
databricks,2023-05,6,83,0.07228915662650602,True
databricks,2023-06,20,133,0.15037593984962405,True
databricks,2023-07,21,216,0.09722222222222222,True
databricks,2023-08,23,230,0.1,True
databricks,2023-09,14,144,0.09722222222222222,True
databricks,2023-10,15,182,0.08241758241758242,True
databricks,2023-11,39,192,0.203125,True
databricks,2023-12,19,197,0.09644670050761421,True
google,2023-01,41,158,0.25949367088607594,True
google,2023-02,19,97,0.1958762886597938,False
google,2023-03,29,79,0.3670886075949367,True
google,2023-04,29,70,0.4142857142857143,True
google,2023-05,25,83,0.30120481927710846,True
google,2023-06,36,133,0.2706766917293233,True
google,2023-07,73,216,0.33796296296296297,True
google,2023-08,55,230,0.2391304347826087,True
google,2023-09,34,144,0.2361111111111111,True
google,2023-10,45,182,0.24725274725274726,True
google,2023-11,26,192,0.13541666666666666,True
google,2023-12,46,197,0.233502538071066,True
meta,2023-01,20,158,0.12658227848101267,True
meta,2023-02,39,97,0.4020618556701031,False
meta,2023-03,11,79,0.13924050632911392,True
meta,2023-04,18,70,0.2571428571428571,True
meta,2023-05,29,83,0.3493975903614458,True
meta,2023-06,35,133,0.2631578947368421,True
meta,2023-07,60,216,0.2777777777777778,True
meta,2023-08,76,230,0.33043478260869563,True
meta,2023-09,46,144,0.3194444444444444,True
meta,2023-10,39,182,0.21428571428571427,True
meta,2023-11,45,192,0.234375,True
meta,2023-12,33,197,0.16751269035532995,True
microsoft,2023-01,45,158,0.2848101265822785,True
microsoft,2023-02,16,97,0.16494845360824742,False
microsoft,2023-03,13,79,0.16455696202531644,True
microsoft,2023-04,4,70,0.05714285714285714,True
microsoft,2023-05,15,83,0.18072289156626506,True
microsoft,2023-06,25,133,0.18796992481203006,True
microsoft,2023-07,35,216,0.16203703703703703,True
microsoft,2023-08,28,230,0.12173913043478261,True
microsoft,2023-09,35,144,0.24305555555555555,True
microsoft,2023-10,56,182,0.3076923076923077,True
microsoft,2023-11,57,192,0.296875,True
microsoft,2023-12,69,197,0.350253807106599,True
nvidia,2023-01,22,158,0.13924050632911392,True
nvidia,2023-02,9,97,0.09278350515463918,False
nvidia,2023-03,2,79,0.02531645569620253,True
nvidia,2023-04,4,70,0.05714285714285714,True
nvidia,2023-05,4,83,0.04819277108433735,True
nvidia,2023-06,9,133,0.06766917293233082,True
nvidia,2023-07,20,216,0.09259259259259259,True
nvidia,2023-08,39,230,0.16956521739130434,True
nvidia,2023-09,14,144,0.09722222222222222,True
nvidia,2023-10,22,182,0.12087912087912088,True
nvidia,2023-11,20,192,0.10416666666666667,True
nvidia,2023-12,18,197,0.09137055837563451,True
snowflake,2023-01,20,158,0.12658227848101267,True
snowflake,2023-02,11,97,0.1134020618556701,False
snowflake,2023-03,15,79,0.189873417721519,True
snowflake,2023-04,11,70,0.15714285714285714,True
snowflake,2023-05,4,83,0.04819277108433735,True
snowflake,2023-06,8,133,0.06015037593984962,True
snowflake,2023-07,7,216,0.032407407407407406,True
snowflake,2023-08,9,230,0.0391304347826087,True
snowflake,2023-09,1,144,0.006944444444444444,True
snowflake,2023-10,5,182,0.027472527472527472,True
snowflake,2023-11,5,192,0.026041666666666668,True
snowflake,2023-12,12,197,0.06091370558375635,True
