threshold,edges,possible_edges,components,isolated,n_isolated
0.4,15,15,1,,0
0.45,15,15,1,,0
0.5,13,15,1,,0
0.55,13,15,1,,0
0.6,9,15,1,,0
0.65,6,15,3,"databricks,snowflake",2
0.7,2,15,4,"databricks,microsoft,snowflake",3
0.75,1,15,5,"databricks,microsoft,nvidia,snowflake",4
0.8,1,15,5,"databricks,microsoft,nvidia,snowflake",4
0.85,1,15,5,"databricks,microsoft,nvidia,snowflake",4
0.9,1,15,5,"databricks,microsoft,nvidia,snowflake",4
0.95,0,15,6,"databricks,google,meta,microsoft,nvidia,snowflake",6
1.0,0,15,6,"databricks,google,meta,microsoft,nvidia,snowflake",6
