company_a,company_b,numerator,share_concept,n_concept,share_postings_le_1,n_postings_le_1,share_postings_le_10,n_postings_le_10,share_top5,top5_skills
databricks,google,0.957512,0.006034,8,0.0,8,0.0,39,0.802298,"Python, SQL, Java, R, Scala"
databricks,meta,1.380956,0.004887,8,0.0,8,0.0,39,0.861003,"Python, SQL, R, Spark, Scala"
databricks,microsoft,1.490978,0.000818,8,0.0,8,0.0,39,0.744922,"Python, Azure, SQL, Spark, Databricks"
databricks,nvidia,1.198567,0.002613,8,0.0,8,0.0,39,0.705563,"Python, Spark, SQL, AWS, Scala"
databricks,snowflake,1.73598,0.000842,8,0.0,8,0.0,39,0.702315,"SQL, Python, Excel, Spark, AWS"
google,meta,1.251588,0.009769,8,0.0,8,5.5e-05,39,0.931737,"Python, SQL, R, C++, Java"
google,microsoft,0.755835,0.002985,8,0.0,8,0.000102,39,0.834713,"Python, SQL, Java, R, C++"
google,nvidia,0.765583,0.007567,8,0.0,8,0.000191,39,0.801094,"Python, SQL, C++, Java, Linux"
google,snowflake,0.948458,0.00285,8,0.0,8,2.7e-05,39,0.839429,"Python, SQL, Java, R, C++"
meta,microsoft,1.068367,0.002413,8,0.0,8,3.8e-05,39,0.865837,"Python, SQL, R, C#, C++"
meta,nvidia,0.966932,0.006862,8,0.0,8,5.3e-05,39,0.883258,"Python, SQL, C++, Spark, R"
meta,snowflake,1.255596,0.00246,8,0.0,8,0.0,39,0.914375,"SQL, Python, R, Java, C++"
microsoft,nvidia,0.822994,0.001486,8,0.0,8,7.3e-05,39,0.713845,"Python, SQL, Spark, Azure, C++"
microsoft,snowflake,1.162612,0.000491,8,0.0,8,2.2e-05,39,0.765767,"SQL, Python, Azure, Java, Spark"
nvidia,snowflake,0.96748,0.001514,8,0.0,8,0.000155,39,0.708246,"Python, SQL, Java, Spark, C++"
