company_a,company_b,metric,observed,null_identical,null_identical_p2_5,null_unrelated,null_unrelated_p97_5,calibrated,distinct,above_unrelated
google,meta,cosine,0.9174,0.9957,0.9935,0.1026,0.3283,0.9123,True,True
google,nvidia,cosine,0.7485,0.9909,0.9864,0.1651,0.337,0.7065,True,True
meta,microsoft,cosine,0.6587,0.9952,0.9926,0.1169,0.3295,0.6169,True,True
google,microsoft,cosine,0.6707,0.9944,0.9915,0.1515,0.3382,0.6159,True,True
meta,nvidia,cosine,0.6569,0.9918,0.9878,0.1309,0.3381,0.611,True,True
microsoft,nvidia,cosine,0.6769,0.9904,0.9854,0.1889,0.325,0.6088,True,True
databricks,microsoft,cosine,0.6498,0.9927,0.9891,0.1399,0.364,0.5979,True,True
microsoft,snowflake,cosine,0.6351,0.9936,0.9908,0.1537,0.3116,0.5732,True,True
google,snowflake,cosine,0.616,0.9941,0.9906,0.1342,0.357,0.5602,True,True
meta,snowflake,cosine,0.5666,0.9948,0.9916,0.1018,0.3102,0.5205,True,True
nvidia,snowflake,cosine,0.5824,0.9902,0.9851,0.1671,0.345,0.5045,True,True
databricks,nvidia,cosine,0.5756,0.9893,0.9836,0.1683,0.3754,0.4961,True,True
databricks,snowflake,cosine,0.5538,0.9923,0.9886,0.1362,0.3433,0.4878,True,True
databricks,meta,cosine,0.4972,0.9939,0.9907,0.0956,0.3248,0.4471,True,True
databricks,google,cosine,0.4961,0.993,0.9894,0.1231,0.3064,0.4288,True,True
