company_a,company_b,cosine,jensen_shannon,bray_curtis,spearman,jaccard_supported,rank_cosine,rank_jensen_shannon,rank_bray_curtis,rank_spearman,rank_jaccard_supported,rank_spread
google,meta,0.9174,0.5795,0.6304,0.5364,0.4074,1,1,1,9,11,10
google,nvidia,0.7485,0.4872,0.5574,0.5036,0.413,2,6,5,11,10,9
microsoft,nvidia,0.6769,0.5033,0.5639,0.5495,0.4333,3,3,4,8,7,5
google,microsoft,0.6707,0.4966,0.5787,0.5912,0.4746,4,4,2,5,5,3
meta,microsoft,0.6587,0.4553,0.4841,0.4601,0.4265,5,10,10,13,9,8
meta,nvidia,0.6569,0.3987,0.4666,0.3366,0.3636,6,12,11,15,13,9
databricks,microsoft,0.6498,0.467,0.5026,0.6007,0.4035,7,7,9,4,12,8
microsoft,snowflake,0.6351,0.5075,0.5732,0.6352,0.4921,8,2,3,2,3,6
google,snowflake,0.616,0.4622,0.5072,0.6187,0.4314,9,8,8,3,8,6
nvidia,snowflake,0.5824,0.4921,0.5402,0.7004,0.5319,10,5,6,1,1,9
databricks,nvidia,0.5756,0.4195,0.4421,0.5697,0.4872,11,11,12,7,4,8
meta,snowflake,0.5666,0.3841,0.441,0.3815,0.4561,12,13,13,14,6,8
databricks,snowflake,0.5538,0.4556,0.5321,0.5785,0.5,13,9,7,6,2,11
databricks,meta,0.4972,0.3734,0.3993,0.4887,0.3529,14,14,15,12,14,3
databricks,google,0.4961,0.372,0.4187,0.5296,0.3409,15,15,14,10,15,5
