skill,databricks,google,meta,microsoft,nvidia,snowflake
Python,0.5912,0.6305,0.8687,0.4742,0.6552,0.5403
SQL,0.5412,0.4322,0.8568,0.4167,0.2284,0.6253
Spark,0.7235,0.061,0.1002,0.2837,0.2931,0.2048
Java,0.2794,0.2237,0.0859,0.2778,0.1681,0.4619
Azure,0.4265,0.0085,0.0286,0.627,0.0819,0.2985
R,0.15,0.3627,0.5525,0.1508,0.0388,0.122
Excel,0.7735,0.0136,0.0298,0.0774,0.0388,0.3442
Databricks,0.9941,0.0,0.0084,0.1329,0.0259,0.0065
C++,0.1029,0.1729,0.1647,0.2024,0.2328,0.2179
Snowflake,0.0,0.0254,0.0012,0.0397,0.0043,0.9935
AWS,0.4853,0.0085,0.0191,0.0913,0.1379,0.3028
Scala,0.4971,0.0898,0.1134,0.0575,0.1121,0.1089
Hadoop,0.3529,0.0983,0.1456,0.1587,0.1379,0.0675
GCP,0.3324,0.0407,0.0012,0.0456,0.0431,0.1721
Go,0.0824,0.1593,0.0227,0.0496,0.125,0.1678
Kubernetes,0.05,0.0203,0.0,0.0774,0.2802,0.1068
Kafka,0.2647,0.0068,0.0,0.0397,0.1336,0.0697
C#,0.0118,0.0237,0.1086,0.3631,0.0,0.0022
Tableau,0.1941,0.0508,0.105,0.0575,0.069,0.0305
Linux,0.0206,0.0831,0.0084,0.0496,0.2845,0.0414
TensorFlow,0.0206,0.1203,0.0382,0.0794,0.1724,0.0479
PyTorch,0.0206,0.0305,0.0477,0.0873,0.2112,0.0458
pandas,0.0794,0.0288,0.0513,0.0258,0.0948,0.1155
Docker,0.0265,0.0153,0.0012,0.0516,0.1853,0.1089
Machine Learning,0.0559,0.1034,0.1181,0.0218,0.056,0.0261
