company_a,company_b,metric,all_skills,core_skills,n_all,n_core,rank_all,rank_core,rank_move
google,meta,cosine,0.9174,0.9473,127,11,1,2,1
google,nvidia,cosine,0.7485,0.9216,127,11,2,6,4
microsoft,nvidia,cosine,0.6769,0.9301,127,11,3,4,1
google,microsoft,cosine,0.6707,0.9274,127,11,4,5,1
meta,microsoft,cosine,0.6587,0.8912,127,11,5,7,2
meta,nvidia,cosine,0.6569,0.8446,127,11,6,12,6
databricks,microsoft,cosine,0.6498,0.8854,127,11,7,8,1
microsoft,snowflake,cosine,0.6351,0.9567,127,11,8,1,-7
google,snowflake,cosine,0.616,0.9363,127,11,9,3,-6
nvidia,snowflake,cosine,0.5824,0.8593,127,11,10,10,0
databricks,nvidia,cosine,0.5756,0.8516,127,11,11,11,0
meta,snowflake,cosine,0.5666,0.8823,127,11,12,9,-3
databricks,snowflake,cosine,0.5538,0.8043,127,11,13,13,0
databricks,meta,cosine,0.4972,0.7521,127,11,14,15,1
databricks,google,cosine,0.4961,0.7624,127,11,15,14,-1
