company_a,company_b,n_periods,r_log_share,ci_low,ci_high,ci_width,r_clr,aitchison_variation,gate_a,gate_b,eligible,excludes_zero
google,meta,11,-0.0411,-0.6255,0.5729,1.1985,0.2086,0.2156,True,True,True,False
databricks,meta,11,0.072,-0.5517,0.6441,1.1958,0.212,0.2352,False,True,False,False
databricks,microsoft,11,0.3589,-0.3071,0.7889,1.096,0.3324,0.2688,False,False,False,False
meta,nvidia,11,0.145,-0.4982,0.6853,1.1835,0.1989,0.3557,True,False,False,False
databricks,google,11,-0.6365,-0.8947,-0.0592,0.8356,-0.5108,0.3598,False,True,False,True
microsoft,nvidia,11,0.3221,-0.3443,0.7727,1.117,0.2875,0.3811,False,False,False,False
databricks,nvidia,11,-0.0081,-0.605,0.5947,1.1997,-0.0494,0.4275,False,False,False,False
meta,microsoft,11,-0.3649,-0.7915,0.3009,1.0924,-0.2379,0.5226,True,False,False,False
google,nvidia,11,-0.56,-0.8682,0.06,0.9282,-0.5146,0.5567,True,False,False,False
google,microsoft,11,-0.6681,-0.9052,-0.1139,0.7913,-0.6073,0.5658,True,False,False,True
google,snowflake,11,0.5455,-0.0809,0.863,0.9439,0.3971,0.6776,True,False,False,False
databricks,snowflake,11,-0.3161,-0.77,0.3501,1.1201,-0.4778,1.2488,False,False,False,False
meta,snowflake,11,-0.5925,-0.8797,0.0114,0.8911,-0.5965,1.4026,True,False,False,False
microsoft,snowflake,11,-0.3966,-0.805,0.2668,1.0717,-0.5437,1.5587,False,False,False,False
nvidia,snowflake,11,-0.4785,-0.8379,0.1703,1.0081,-0.6324,1.6738,False,False,False,False
