claim_id,table,column,selector,quoted,table_value,bound,detail
vol-databricks,task-06-tables/volume-verdict.csv,spread,company=databricks,128.1,128.1,True,128.1 == 128.1
vol-google,task-06-tables/volume-verdict.csv,spread,company=google,99.05,99.05,True,99.05 == 99.05
vol-meta,task-06-tables/volume-verdict.csv,spread,company=meta,135.59,135.59,True,135.59 == 135.59
vol-microsoft,task-06-tables/volume-verdict.csv,spread,company=microsoft,80.93,80.93,True,80.93 == 80.93
vol-nvidia,task-06-tables/volume-verdict.csv,spread,company=nvidia,27.38,27.38,True,27.38 == 27.38
vol-snowflake,task-06-tables/volume-verdict.csv,spread,company=snowflake,17.24,17.24,True,17.24 == 17.24
share-databricks,task-06-tables/relative-share-verdict.csv,pooled_log_share_change,company=databricks,0.293,0.293,True,0.293 == 0.293
share-google,task-06-tables/relative-share-verdict.csv,pooled_log_share_change,company=google,-0.182,-0.182,True,-0.182 == -0.182
share-meta,task-06-tables/relative-share-verdict.csv,pooled_log_share_change,company=meta,0.05,0.05,True,0.05 == 0.05
share-microsoft,task-06-tables/relative-share-verdict.csv,pooled_log_share_change,company=microsoft,0.237,0.237,True,0.237 == 0.237
share-nvidia,task-06-tables/relative-share-verdict.csv,pooled_log_share_change,company=nvidia,0.347,0.347,True,0.347 == 0.347
share-snowflake,task-06-tables/relative-share-verdict.csv,pooled_log_share_change,company=snowflake,-1.19,-1.19,True,-1.19 == -1.19
mix-analytics,task-05-tables/panel-check-job-function.csv,share_delta,segment=Analytics,0.0378,0.0378,True,0.0378 == 0.0378
mix-sales,task-05-tables/panel-check-job-function.csv,share_delta,segment=Sales,0.0266,0.0266,True,0.0266 == 0.0266
mix-technical-sales,task-05-tables/panel-check-job-function.csv,share_delta,segment=Technical Sales,0.0208,0.0208,True,0.0208 == 0.0208
mix-product-program,task-05-tables/panel-check-job-function.csv,share_delta,segment=Product / Program,0.0015,0.0015,True,0.0015 == 0.0015
mix-support-admin,task-05-tables/panel-check-job-function.csv,share_delta,segment=Support / Admin,0.0015,0.0015,True,0.0015 == 0.0015
mix-facilities-operations,task-05-tables/panel-check-job-function.csv,share_delta,segment=Facilities / Operations,0.0011,0.0011,True,0.0011 == 0.0011
mix-marketing-communications,task-05-tables/panel-check-job-function.csv,share_delta,segment=Marketing / Communications,-0.0006,-0.0006,True,-0.0006 == -0.0006
mix-other,task-05-tables/panel-check-job-function.csv,share_delta,segment=Other,-0.0101,-0.0101,True,-0.0101 == -0.0101
mix-engineering,task-05-tables/panel-check-job-function.csv,share_delta,segment=Engineering,-0.0254,-0.0254,True,-0.0254 == -0.0254
mix-science-research,task-05-tables/panel-check-job-function.csv,share_delta,segment=Science / Research,-0.0535,-0.0535,True,-0.0535 == -0.0535
skilltrend-looker,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=Looker,0.1382,0.1382,True,0.1382 == 0.1382
skilltrend-python,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=Python,0.6029,0.6029,True,0.6029 == 0.6029
skilltrend-bigquery,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=BigQuery,0.1176,0.1176,True,0.1176 == 0.1176
skilltrend-linux,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=Linux,0.0765,0.0765,True,0.0765 == 0.0765
skilltrend-c-plus-plus,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=C++,0.1618,0.1618,True,0.1618 == 0.1618
skilltrend-tensorflow,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=TensorFlow,0.1088,0.1088,True,0.1088 == 0.1088
skilltrend-tableau,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=Tableau,0.0529,0.0529,True,0.0529 == 0.0529
skilltrend-matlab,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=MATLAB,0.05,0.05,True,0.05 == 0.05
skilltrend-sql,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=SQL,0.5059,0.5059,True,0.5059 == 0.5059
skilltrend-go,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=Go,0.1118,0.1118,True,0.1118 == 0.1118
skilltrend-hadoop,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=Hadoop,0.0647,0.0647,True,0.0647 == 0.0647
skilltrend-java,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=Java,0.1912,0.1912,True,0.1912 == 0.1912
skilltrend-scala,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=Scala,0.0647,0.0647,True,0.0647 == 0.0647
skilltrend-nosql,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=NoSQL,0.0559,0.0559,True,0.0559 == 0.0559
skilltrend-r,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=R,0.3794,0.3794,True,0.3794 == 0.3794
skilltrend-c,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=C,0.0735,0.0735,True,0.0735 == 0.0735
skilltrend-perl,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=Perl,0.0412,0.0412,True,0.0412 == 0.0412
skilltrend-gcp,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=GCP,0.0529,0.0529,True,0.0529 == 0.0529
skilltrend-javascript,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=JavaScript,0.1118,0.1118,True,0.1118 == 0.1118
skilltrend-pytorch,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=PyTorch,0.0412,0.0412,True,0.0412 == 0.0412
skilltrend-sap,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=SAP,0.0206,0.0206,True,0.0206 == 0.0206
skilltrend-oracle,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=Oracle,0.0235,0.0235,True,0.0235 == 0.0235
skilltrend-mongodb,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=MongoDB,0.0265,0.0265,True,0.0265 == 0.0265
skilltrend-sas,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=SAS,0.05,0.05,True,0.05 == 0.05
skilltrend-shell,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=Shell,0.0294,0.0294,True,0.0294 == 0.0294
skilltrend-machine-learning,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=Machine Learning,0.1088,0.1088,True,0.1088 == 0.1088
skilltrend-pandas,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=pandas,0.0324,0.0324,True,0.0324 == 0.0324
skilltrend-spark,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=Spark,0.0559,0.0559,True,0.0559 == 0.0559
skilltrend-c-sharp,task-05-tables/skill-stratified-verdicts.csv,pooled_share_h2,skill=C#,0.0206,0.0206,True,0.0206 == 0.0206
skillgap-r-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=R,company_a=google,company_b=databricks",0.2093,0.2093,True,0.2093 == 0.2093
skillgap-javascript-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=JavaScript,company_a=google,company_b=databricks",0.1129,0.1129,True,0.1129 == 0.1129
skillgap-bigquery-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=BigQuery,company_a=google,company_b=databricks",0.106,0.106,True,0.106 == 0.106
skillgap-tensorflow-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=TensorFlow,company_a=google,company_b=databricks",0.1006,0.1006,True,0.1006 == 0.1006
skillgap-go-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Go,company_a=google,company_b=databricks",0.0806,0.0806,True,0.0806 == 0.0806
skillgap-c-plus-plus-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=C++,company_a=google,company_b=databricks",0.0705,0.0705,True,0.0705 == 0.0705
skillgap-linux-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Linux,company_a=google,company_b=databricks",0.063,0.063,True,0.063 == 0.063
skillgap-c-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=C,company_a=google,company_b=databricks",0.0586,0.0586,True,0.0586 == 0.0586
skillgap-sas-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=SAS,company_a=google,company_b=databricks",0.0581,0.0581,True,0.0581 == 0.0581
skillgap-nosql-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=NoSQL,company_a=google,company_b=databricks",0.0566,0.0566,True,0.0566 == 0.0566
skillgap-matlab-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=MATLAB,company_a=google,company_b=databricks",0.0513,0.0513,True,0.0513 == 0.0513
skillgap-machine-learning-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Machine Learning,company_a=google,company_b=databricks",0.0479,0.0479,True,0.0479 == 0.0479
skillgap-mongodb-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=MongoDB,company_a=google,company_b=databricks",0.0359,0.0359,True,0.0359 == 0.0359
skillgap-sap-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=SAP,company_a=google,company_b=databricks",0.0308,0.0308,True,0.0308 == 0.0308
skillgap-perl-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Perl,company_a=google,company_b=databricks",0.0291,0.0291,True,0.0291 == 0.0291
skillgap-express-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Express,company_a=google,company_b=databricks",0.0256,0.0256,True,0.0256 == 0.0256
skillgap-snowflake-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Snowflake,company_a=google,company_b=databricks",0.0256,0.0256,True,0.0256 == 0.0256
skillgap-airflow-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Airflow,company_a=google,company_b=databricks",0.0188,0.0188,True,0.0188 == 0.0188
skillgap-microsoft-word-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Microsoft Word,company_a=google,company_b=databricks",-0.0245,-0.0245,True,-0.0245 == -0.0245
skillgap-jenkins-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Jenkins,company_a=google,company_b=databricks",-0.0283,-0.0283,True,-0.0283 == -0.0283
skillgap-kubernetes-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Kubernetes,company_a=google,company_b=databricks",-0.0299,-0.0299,True,-0.0299 == -0.0299
skillgap-google-sheets-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Google Sheets,company_a=google,company_b=databricks",-0.0478,-0.0478,True,-0.0478 == -0.0478
skillgap-cassandra-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Cassandra,company_a=google,company_b=databricks",-0.05,-0.05,True,-0.05 == -0.05
skillgap-pandas-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=pandas,company_a=google,company_b=databricks",-0.0545,-0.0545,True,-0.0545 == -0.0545
skillgap-scikit-learn-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=scikit-learn,company_a=google,company_b=databricks",-0.0733,-0.0733,True,-0.0733 == -0.0733
skillgap-git-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Git,company_a=google,company_b=databricks",-0.0712,-0.0712,True,-0.0712 == -0.0712
skillgap-sql-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=SQL,company_a=google,company_b=databricks",-0.1157,-0.1157,True,-0.1157 == -0.1157
skillgap-tableau-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Tableau,company_a=google,company_b=databricks",-0.145,-0.145,True,-0.145 == -0.145
skillgap-hadoop-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Hadoop,company_a=google,company_b=databricks",-0.2569,-0.2569,True,-0.2569 == -0.2569
skillgap-kafka-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Kafka,company_a=google,company_b=databricks",-0.2602,-0.2602,True,-0.2602 == -0.2602
skillgap-gcp-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=GCP,company_a=google,company_b=databricks",-0.2943,-0.2943,True,-0.2943 == -0.2943
skillgap-scala-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Scala,company_a=google,company_b=databricks",-0.4109,-0.4109,True,-0.4109 == -0.4109
skillgap-azure-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Azure,company_a=google,company_b=databricks",-0.4217,-0.4217,True,-0.4217 == -0.4217
skillgap-aws-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=AWS,company_a=google,company_b=databricks",-0.4811,-0.4811,True,-0.4811 == -0.4811
skillgap-spark-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Spark,company_a=google,company_b=databricks",-0.6655,-0.6655,True,-0.6655 == -0.6655
skillgap-excel-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Excel,company_a=google,company_b=databricks",-0.7578,-0.7578,True,-0.7578 == -0.7578
skillgap-databricks-google-databricks,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Databricks,company_a=google,company_b=databricks",-0.997,-0.997,True,-0.997 == -0.997
skillgap-java-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Java,company_a=google,company_b=meta",0.1396,0.1396,True,0.1396 == 0.1396
skillgap-go-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Go,company_a=google,company_b=meta",0.138,0.138,True,0.138 == 0.138
skillgap-looker-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Looker,company_a=google,company_b=meta",0.1103,0.1103,True,0.1103 == 0.1103
skillgap-javascript-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=JavaScript,company_a=google,company_b=meta",0.1057,0.1057,True,0.1057 == 0.1057
skillgap-bigquery-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=BigQuery,company_a=google,company_b=meta",0.0928,0.0928,True,0.0928 == 0.0928
skillgap-tensorflow-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=TensorFlow,company_a=google,company_b=meta",0.0831,0.0831,True,0.0831 == 0.0831
skillgap-linux-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Linux,company_a=google,company_b=meta",0.0754,0.0754,True,0.0754 == 0.0754
skillgap-nosql-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=NoSQL,company_a=google,company_b=meta",0.0744,0.0744,True,0.0744 == 0.0744
skillgap-c-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=C,company_a=google,company_b=meta",0.0436,0.0436,True,0.0436 == 0.0436
skillgap-gcp-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=GCP,company_a=google,company_b=meta",0.0398,0.0398,True,0.0398 == 0.0398
skillgap-mongodb-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=MongoDB,company_a=google,company_b=meta",0.0359,0.0359,True,0.0359 == 0.0359
skillgap-sap-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=SAP,company_a=google,company_b=meta",0.0284,0.0284,True,0.0284 == 0.0284
skillgap-oracle-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Oracle,company_a=google,company_b=meta",0.0282,0.0282,True,0.0282 == 0.0282
skillgap-snowflake-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Snowflake,company_a=google,company_b=meta",0.0244,0.0244,True,0.0244 == 0.0244
skillgap-kubernetes-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Kubernetes,company_a=google,company_b=meta",0.0205,0.0205,True,0.0205 == 0.0205
skillgap-shell-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Shell,company_a=google,company_b=meta",0.0168,0.0168,True,0.0168 == 0.0168
skillgap-express-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Express,company_a=google,company_b=meta",0.0161,0.0161,True,0.0161 == 0.0161
skillgap-graphql-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=GraphQL,company_a=google,company_b=meta",-0.0131,-0.0131,True,-0.0131 == -0.0131
skillgap-generative-ai-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Generative AI,company_a=google,company_b=meta",-0.0167,-0.0167,True,-0.0167 == -0.0167
skillgap-azure-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Azure,company_a=google,company_b=meta",-0.0201,-0.0201,True,-0.0201 == -0.0201
skillgap-seaborn-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Seaborn,company_a=google,company_b=meta",-0.0203,-0.0203,True,-0.0203 == -0.0203
skillgap-numpy-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=NumPy,company_a=google,company_b=meta",-0.0254,-0.0254,True,-0.0254 == -0.0254
skillgap-spss-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=SPSS,company_a=google,company_b=meta",-0.0263,-0.0263,True,-0.0263 == -0.0263
skillgap-git-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Git,company_a=google,company_b=meta",-0.0335,-0.0335,True,-0.0335 == -0.0335
skillgap-spark-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Spark,company_a=google,company_b=meta",-0.0388,-0.0388,True,-0.0388 == -0.0388
skillgap-matplotlib-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Matplotlib,company_a=google,company_b=meta",-0.0406,-0.0406,True,-0.0406 == -0.0406
skillgap-ggplot2-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=ggplot2,company_a=google,company_b=meta",-0.0418,-0.0418,True,-0.0418 == -0.0418
skillgap-matlab-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=MATLAB,company_a=google,company_b=meta",-0.0443,-0.0443,True,-0.0443 == -0.0443
skillgap-hadoop-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Hadoop,company_a=google,company_b=meta",-0.0466,-0.0466,True,-0.0466 == -0.0466
skillgap-sas-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=SAS,company_a=google,company_b=meta",-0.047,-0.047,True,-0.047 == -0.047
skillgap-dplyr-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=dplyr,company_a=google,company_b=meta",-0.0514,-0.0514,True,-0.0514 == -0.0514
skillgap-tableau-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Tableau,company_a=google,company_b=meta",-0.0561,-0.0561,True,-0.0561 == -0.0561
skillgap-scikit-learn-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=scikit-learn,company_a=google,company_b=meta",-0.0577,-0.0577,True,-0.0577 == -0.0577
skillgap-php-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=PHP,company_a=google,company_b=meta",-0.0688,-0.0688,True,-0.0688 == -0.0688
skillgap-c-sharp-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=C#,company_a=google,company_b=meta",-0.0848,-0.0848,True,-0.0848 == -0.0848
skillgap-r-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=R,company_a=google,company_b=meta",-0.1925,-0.1925,True,-0.1925 == -0.1925
skillgap-python-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Python,company_a=google,company_b=meta",-0.2361,-0.2361,True,-0.2361 == -0.2361
skillgap-sql-google-meta,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=SQL,company_a=google,company_b=meta",-0.4293,-0.4293,True,-0.4293 == -0.4293
skillgap-r-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=R,company_a=google,company_b=microsoft",0.2065,0.2065,True,0.2065 == 0.2065
skillgap-python-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Python,company_a=google,company_b=microsoft",0.1497,0.1497,True,0.1497 == 0.1497
skillgap-looker-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Looker,company_a=google,company_b=microsoft",0.1162,0.1162,True,0.1162 == 0.1162
skillgap-go-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Go,company_a=google,company_b=microsoft",0.114,0.114,True,0.114 == 0.114
skillgap-bigquery-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=BigQuery,company_a=google,company_b=microsoft",0.106,0.106,True,0.106 == 0.106
skillgap-machine-learning-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Machine Learning,company_a=google,company_b=microsoft",0.086,0.086,True,0.086 == 0.086
skillgap-nosql-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=NoSQL,company_a=google,company_b=microsoft",0.0479,0.0479,True,0.0479 == 0.0479
skillgap-tensorflow-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=TensorFlow,company_a=google,company_b=microsoft",0.0443,0.0443,True,0.0443 == 0.0443
