publisher,postings,disclosed,disclosed_pct,companies_carried
via Ladders,62,62,100.0,6
via Relocation Jobs,5,5,100.0,1
via JobServe,4,4,100.0,2
via IT JobServe,3,3,100.0,1
via Abc27 Jobs,1,1,100.0,1
via Built In Austin,1,1,100.0,1
via Careerboard - Georgia Jobs,1,1,100.0,1
via Colorado Jobs - Tarta.ai,1,1,100.0,1
via DirectlyApply,1,1,100.0,1
via IT Jobs For Stevenage Fans,1,1,100.0,1
via InternsGrab,1,1,100.0,1
via LifeworQ,1,1,100.0,1
via Vacancies For Col U Fans,1,1,100.0,1
via WJBF Jobs,1,1,100.0,1
via Ai-Jobs.net,68,59,86.76,4
via My ArkLaMiss Jobs,4,3,75.0,1
via Built In,2,1,50.0,2
via WAVY Jobs,2,1,50.0,2
via WJTV Jobs,2,1,50.0,2
via Indeed,142,49,34.51,6
via AI Careers,3,1,33.33,2
via Talent.com,32,6,18.75,5
via ZipRecruiter,38,6,15.79,3
via LinkedIn,660,48,7.27,6
via Tarta.ai,18,1,5.56,3
via Adzuna,50,1,2.0,4
via BeBee,428,2,0.47,6
via Trabajo.org,374,0,0.0,6
via Snowflake Careers,208,0,0.0,1
via The Muse,120,0,0.0,2
via Recruit.net,92,0,0.0,6
via Nexxt,62,0,0.0,3
via Google Careers,56,0,0.0,1
via BeBee Australia,52,0,0.0,3
via Jobs Trabajo.org,47,0,0.0,5
via BeBee Singapore,46,0,0.0,5
via BeBee Ireland,45,0,0.0,4
via BeBee Costa Rica,43,0,0.0,2
"via Trabajo.org - Vacantes De Empleo, Trabajo",41,0,0.0,3
via BeBee India,39,0,0.0,5
via Microsoft Careers,39,0,0.0,1
via Meta Careers Jobs,38,0,0.0,1
via The IEEE Computer Society,33,0,0.0,2
via Praca Trabajo.org,31,0,0.0,4
via Jora,30,0,0.0,4
via Sercanto,27,0,0.0,5
via Fairygodboss,23,0,0.0,2
via SimplyHired,23,0,0.0,6
via Startup Jobs,22,0,0.0,1
via Lensa,20,0,0.0,3
via BeBee Chile,18,0,0.0,1
via Empregos Trabajo.org,15,0,0.0,4
via Jooble,15,0,0.0,5
via Karkidi,14,0,0.0,2
via BeBee Schweiz,13,0,0.0,5
via Dice,13,0,0.0,1
via Jobgether,13,0,0.0,4
via Linkedin,13,0,0.0,3
via CakeResume,12,0,0.0,2
via Melga,12,0,0.0,4
via Monster,11,0,0.0,1
via WhatJobs,11,0,0.0,2
via Getting Hired,10,0,0.0,1
via LinkedIn Costa Rica,10,0,0.0,2
via Emprego.pt,9,0,0.0,3
