publisher,company_a,company_b,stratum,n_a,n_b,median_diff,ci_low,ci_high,spans_zero,verdict,reason,median_a,median_b,identified
via Ai-Jobs.net,google,databricks,Analytics,1,2,,,,True,untestable,cell floor 5 not met,,,False
via Ai-Jobs.net,google,databricks,Engineering,2,14,,,,True,untestable,cell floor 5 not met,,,False
via Ai-Jobs.net,google,databricks,Other,0,2,,,,True,untestable,cell floor 5 not met,,,False
via Ai-Jobs.net,google,databricks,Product / Program,0,1,,,,True,untestable,cell floor 5 not met,,,False
via Ai-Jobs.net,google,databricks,Science / Research,7,2,,,,True,untestable,cell floor 5 not met,,,False
via Ai-Jobs.net,google,databricks,Technical Sales,0,12,,,,True,untestable,cell floor 5 not met,,,False
via Ai-Jobs.net,google,snowflake,Analytics,1,3,,,,True,untestable,cell floor 5 not met,,,False
via Ai-Jobs.net,google,snowflake,Engineering,2,4,,,,True,untestable,cell floor 5 not met,,,False
via Ai-Jobs.net,google,snowflake,Other,0,2,,,,True,untestable,cell floor 5 not met,,,False
via Ai-Jobs.net,google,snowflake,Science / Research,7,7,0.0,-7847.0,15000.0,True,no difference identified,,157500.0,157500.0,False
via Ladders,google,meta,Analytics,2,17,,,,True,untestable,cell floor 5 not met,,,False
via Ladders,google,meta,Engineering,0,3,,,,True,untestable,cell floor 5 not met,,,False
via Ladders,google,meta,Other,0,7,,,,True,untestable,cell floor 5 not met,,,False
via Ladders,google,meta,Science / Research,15,11,-25000.0,-25000.0,50000.0,True,no difference identified,,175000.0,200000.0,False
via Ladders,google,meta,Technical Sales,1,0,,,,True,untestable,cell floor 5 not met,,,False
