path,verdict,detail
docs/task-03-text-pipeline-validation.md,identical,byte for byte
docs/task-04-skill-extraction-validation.md,identical,byte for byte
docs/task-07-forecast-validation.md,identical,byte for byte
docs/task-08-similarity-validation.md,identical,byte for byte
docs/task-09-insight-validation.md,identical,byte for byte
members/ankit-google/data-manifest.json,volatile_only,bytes moved; content did not
members/ankit-google/task-03-quality-report.json,volatile_only,bytes moved; content did not
members/ankit-google/task-04-feature-report.json,volatile_only,bytes moved; content did not
members/ankit-google/task-04-tables/coverage-by-job-function.csv,identical,byte for byte
members/ankit-google/task-04-tables/coverage-by-month.csv,identical,byte for byte
members/ankit-google/task-04-tables/coverage-by-publisher.csv,identical,byte for byte
members/ankit-google/task-04-tables/skill-by-job-function.csv,identical,byte for byte
members/ankit-google/task-04-tables/skill-by-month.csv,identical,byte for byte
members/ankit-google/task-04-tables/skill-cooccurrence.csv,identical,byte for byte
members/ankit-google/task-04-tables/skill-frequency.csv,identical,byte for byte
members/ankit-google/task-04-tables/skill-trend.csv,identical,byte for byte
members/ankit-google/task-05-figures/01-monthly-volume-and-velocity.png,identical,byte for byte
members/ankit-google/task-05-figures/02-panel-sensitivity.png,identical,byte for byte
members/ankit-google/task-05-figures/03-publisher-panel.png,identical,byte for byte
members/ankit-google/task-05-figures/04-weekly-spikes.png,identical,byte for byte
members/ankit-google/task-05-figures/05-job-function-mix.png,identical,byte for byte
members/ankit-google/task-05-figures/06-skill-velocity.png,identical,byte for byte
members/ankit-google/task-05-figures/07-simpsons-paradox-looker.png,identical,byte for byte
members/ankit-google/task-05-figures/08-day-of-week.png,identical,byte for byte
members/ankit-google/task-05-tables/panel-check-country.csv,identical,byte for byte
members/ankit-google/task-05-tables/panel-check-job-category.csv,identical,byte for byte
members/ankit-google/task-05-tables/panel-check-job-function.csv,identical,byte for byte
members/ankit-google/task-05-tables/panel-sensitivity.csv,identical,byte for byte
members/ankit-google/task-05-tables/publisher-batches.csv,identical,byte for byte
members/ankit-google/task-05-tables/publisher-panel.csv,identical,byte for byte
members/ankit-google/task-05-tables/publisher-presence.csv,identical,byte for byte
members/ankit-google/task-05-tables/seasonality.csv,identical,byte for byte
members/ankit-google/task-05-tables/skill-stratified-verdicts.csv,identical,byte for byte
members/ankit-google/task-05-tables/skill-trend-within-function.csv,identical,byte for byte
members/ankit-google/task-05-tables/skill-velocity-by-month.csv,identical,byte for byte
members/ankit-google/task-05-tables/spike-attribution.csv,identical,byte for byte
members/ankit-google/task-05-tables/spikes-weekly.csv,identical,byte for byte
members/ankit-google/task-05-tables/trend-by-country.csv,identical,byte for byte
members/ankit-google/task-05-tables/trend-by-job-category.csv,identical,byte for byte
members/ankit-google/task-05-tables/trend-by-job-function.csv,identical,byte for byte
members/ankit-google/task-05-tables/volume-by-month.csv,identical,byte for byte
